"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"oxford united","1984-85","second division","0","0","0","0","0","0","0","0","0","0"
"oxford united","1985-86","first division","0","0","0","0","0","0","0","0","0","0"
"oxford united","1986-87","first division","25","2","1","0","3","0","1","0","30","2"
"oxford united","1987-88","first division","35","0","1","0","8","0","2","0","46","0"
"oxford united","total","total","60","2","2","0","11","0","3","0","76","2"
"torquay united","1985-86","fourth division","5","0","0","0","0","0","0","0","5","0"
"torquay united","total","total","5","0","0","0","0","0","0","0","5","0"
"fulham","1985-86","second division","12","2","1","0","0","0","0","0","13","2"
"fulham","total","total","12","2","1","0","0","0","0","0","13","2"
"luton town","1988-89","first division","18","1","0","0","5","0","1","0","24","1"
"luton town","1989-90","first division","38","2","1","0","3","1","1","0","43","2"
"luton town","1990-91","first division","38","3","3","0","2","0","3","1","46","4"
"luton town","1991-92","first division","42","2","1","0","1","0","0","0","44","2"
"luton town","1992-93","first division","38","2","2","0","1","0","1","0","42","2"
"luton town","1993-94","first division","40","3","7","0","2","0","2","0","51","3"
"luton town","total","total","214","13","14","0","14","1","8","1","250","15"
"stoke city","1994-95","first division","18","2","0","0","2","0","3","0","23","2"
"stoke city","1995-96","first division","19","0","1","0","0","0","2","1","22","1"
"stoke city","1996-97","first division","12","1","0","0","3","0","0","0","15","1"
"stoke city","total","total","49","3","1","0","5","0","5","1","60","4"
"bolton wanderers","1994-95","first division","2","0","0","0","0","0","2","0","4","0"
"bolton wanderers","total","total","2","0","0","0","0","0","2","0","4","0"
"bradford city","1996-97","first division","28","1","3","3","0","0","0","0","31","4"
"bradford city","1997-98","first division","17","0","0","0","2","0","0","0","19","0"
"bradford city","1998-99","first division","21","0","0","0","5","0","0","0","26","0"
"bradford city","1999-2000","premier league","14","1","0","0","1","0","0","0","15","1"
"bradford city","total","total","80","2","4","3","8","0","0","0","92","5"
"cambridge united","2000-01","second division","40","0","1","0","2","0","1","1","44","1"
"cambridge united","total","total","40","0","1","0","2","0","1","1","44","1"
"stevenage borough","2001-02","conference national","24","0","0","0","0","0","1","0","25","0"
"stevenage borough","2002-03","conference national","2","0","0","0","0","0","0","0","2","0"
"stevenage borough","total","total","26","0","0","0","0","0","1","0","26","0"
"career total","career total","career total","488","22","23","3","40","1","20","3","571","29"
