"club","season","league","league","league","national cup","national cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"boreham wood","2011-12","conference south","1","0","0","0","-","-","0","0","1","0"
"dulwich hamlet","2012-13","isthmian league division one south","20","2","-","-","0","0","20","2","none","none"
"hull city","2012-13","championship","0","0","0","0","0","0","-","-","0","0"
"hull city","2013-14","premier league","0","0","1","0","1","0","-","-","2","0"
"hull city","2014-15","premier league","0","0","0","0","0","0","0","0","0","0"
"hull city","2015-16","championship","1","0","0","0","1","0","0","0","2","0"
"hull city","total","total","1","0","1","0","2","0","0","0","4","0"
"tranmere rovers","2014-15","league two","2","0","2","0","0","0","-","-","4","0"
"alloa athletic","2014-15","scottish championship","2","0","0","0","0","0","0","0","2","0"
"leyton orient","2015-16","league two","15","1","0","0","0","0","0","0","15","1"
"oldham athletic","2016-17","league one","4","0","0","0","0","0","1","0","5","0"
"newport county","2017-18","league two","2","0","0","0","0","0","1","0","3","0"
"career total","career total","career total","47","3","3","0","2","0","2","0","54","3"
