"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gremio","1998","brasileirao","14","1","2","0","15","3","17","4","48","8"
"gremio","1999","brasileirao","17","6","3","0","4","2","24","15","48","23"
"gremio","2000","brasileirao","21","14","6","6","-","-","22","21","49","41"
"gremio","total","total","52","21","11","6","19","5","63","40","145","72"
"paris saint-germain","2001-02","division 1","28","9","6","2","6","2","-","-","40","13"
"paris saint-germain","2002-03","division 1","27","8","6","3","4","1","-","-","37","12"
"paris saint-germain","total","total","55","17","12","5","10","3","-","-","77","25"
"barcelona","2003-04","la liga","32","15","6","3","7","4","-","-","45","22"
"barcelona","2004-05","la liga","35","9","0","0","7","4","-","-","42","13"
"barcelona","2005-06","la liga","29","17","2","1","12","7","2","1","45","26"
"barcelona","2006-07","la liga","32","21","4","0","11","3","2","0","49","24"
"barcelona","2007-08","la liga","17","8","1","0","8","1","-","-","26","9"
"barcelona","total","total","145","70","13","4","45","19","4","1","207","94"
"milan","2008-09","serie a","29","8","1","0","6","2","-","-","36","10"
"milan","2009-10","serie a","36","12","0","0","7","3","-","-","43","15"
"milan","2010-11","serie a","11","0","0","0","5","1","-","-","16","1"
"milan","total","total","76","20","1","0","18","6","-","-","95","26"
"flamengo","2011","brasileirao","31","14","5","1","3","2","13","4","52","21"
"flamengo","2012","brasileirao","2","1","0","0","8","2","10","4","20","7"
"flamengo","total","total","33","15","5","1","11","4","23","8","72","28"
"atletico mineiro","2012","brasileirao","32","9","0","0","-","-","32","9","none","none"
"atletico mineiro","2013","brasileirao","14","7","2","0","14","4","8","6","38","17"
"atletico mineiro","2014","brasileirao","2","0","-","-","9","1","4","0","15","1"
"atletico mineiro","total","total","48","16","2","0","23","5","12","6","85","27"
"queretaro","2014-15","liga mx","25","8","4","0","-","-","29","8","none","none"
"fluminense","2015","brasileirao","7","0","2","0","-","-","9","0","none","none"
"career total","career total","career total","441","167","50","16","126","42","102","55","719","280"
