"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"walsall","1958-59","second division","3","0","0","0","0","0","3","0"
"walsall","1959-60","fourth division","3","0","0","0","0","0","3","0"
"walsall","1960-61","third division","0","0","0","0","0","0","0","0"
"walsall","1961-62","second division","5","0","0","0","1","0","6","0"
"walsall","total","total","11","0","0","0","1","0","12","0"
"walsall","1966-67","third division","15","0","0","0","0","0","15","0"
"walsall","1967-68","third division","19","0","0","0","2","0","21","0"
"walsall","total","total","34","0","0","0","2","0","36","0"
"port vale","1968-69","fourth division","25","0","3","0","0","0","28","0"
"port vale","1969-70","fourth division","46","0","5","0","1","0","52","0"
"port vale","1970-71","third division","28","0","1","0","1","0","30","0"
"port vale","1971-72","third division","31","0","3","0","1","0","35","0"
"port vale","total","total","130","0","12","0","3","0","145","0"
"walsall","1980-81","third division","2","0","0","0","0","0","2","0"
