"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"palermo","2007-08","serie a","0","0","0","0","-","-","-","-","0","0"
"palermo","2008-09","serie a","1","0","0","0","-","-","-","-","1","0"
"palermo","2012-13","serie a","19","0","1","0","-","-","-","-","20","0"
"palermo","2013-14","serie b","11","0","0","0","-","-","-","-","11","0"
"palermo","2014-15","serie a","3","0","1","0","-","-","-","-","4","0"
"palermo","total","total","34","0","2","0","-","-","-","-","36","0"
"novara","2009-10","lega pro prima divisione","23","0","3","0","-","-","1","0","27","0"
"novara","2010-11","serie b","39","0","1","0","-","-","-","-","40","0"
"novara","2011-12","serie a","24","0","2","0","-","-","-","-","26","0"
"chievo","2012-13","serie a","0","0","0","0","-","-","-","-","0","0"
"chievo","total","total","86","0","6","0","-","-","-","-","94","0"
"genoa","2015-16","serie a","0","0","0","0","-","-","-","-","0","0"
"genoa","total","total","0","0","0","0","-","-","-","-","0","0"
"latina","2015-16","serie b","21","0","0","0","-","-","-","-","21","0"
"pisa","2016-17","serie b","35","0","3","0","-","-","-","-","38","0"
"pisa","total","total","56","0","3","0","-","-","-","-","59","0"
"cremonese","2017-18","serie b","37","0","1","0","-","-","-","-","38","0"
"cremonese","total","total","37","0","1","0","-","-","-","-","38","0"
"caykur rizespor","2018-19","super lig","0","0","1","0","0","0","0","0","1","0"
"caykur rizespor","total","total","0","0","1","0","0","0","0","0","1","0"
"career total","career total","career total","213","0","13","0","0","0","1","0","228","0"
