"","women","women","women","women","women","men","men","men","men","men"
"","not usually requiring a university degree","usually requiring a university degree","management","total","total","not usually requiring a university degree","usually requiring a university degree","management","total","total"
"","percent","percent","percent","percent","number","percent","percent","percent","percent","number"
"total population","69.8","21.3","8.9","100.0","8,306,000","70.1","16.2","13.7","100.0","8,924,000"
"immigrant","71.2","20.6","8.3","100.0","1,952,000","66.4","20.6","12.9","100.0","2,155,000"
"canadian-born","69.2","21.6","9.2","100.0","6,249,000","71.4","14.6","14.0","100.0","6,635,000"
"south asian","71.8","20.9","7.3","100.0","395,000","66.6","21.5","11.9","100.0","526,000"
"immigrant","73.8","18.9","7.4","100.0","305,000","66.9","20.9","12.3","100.0","412,000"
"canadian-born","63.1","29.7","7.2","100.0","77,000","65.1","23.2","11.7","100.0","82,000"
"chinese","63.3","27.3","9.4","100.0","365,000","56.4","29.6","14.0","100.0","365,000"
"immigrant","64.7","25.4","9.8","100.0","275,000","56.5","28.6","14.9","100.0","272,000"
"canadian-born","57.0","34.6","8.3","100.0","74,000","56.5","32.2","11.3","100.0","79,000"
"black","76.5","18.7","4.8","100.0","268,000","78.7","15.1","6.2","100.0","264,000"
"immigrant","76.7","19.0","4.3","100.0","177,000","77.6","16.2","6.2","100.0","177,000"
"canadian-born","75.6","18.4","6.0","100.0","82,000","81.5","11.8","6.7","100.0","75,000"
"rest of the population","69.7","21.2","9.1","100.0","7,278,000","70.7","15.3","14.0","100.0","7,769,000"
"immigrant","71.2","20.1","8.7","100.0","1,194,000","66.9","19.5","13.6","100.0","1,294,000"
"canadian-born","69.4","21.4","9.2","100.0","6,016,000","71.6","14.3","14.1","100.0","6,398,000"
