"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"coventry city","1991-92","first division","22","2","0","0","0","0","0","0","22","2"
"coventry city","1992-93","premier league","7","0","0","0","0","0","0","0","7","0"
"coventry city","1993-94","premier league","36","3","1","0","2","0","0","0","39","3"
"coventry city","1994-95","premier league","32","4","2","0","3","1","0","0","37","5"
"coventry city","total","total","97","9","3","0","5","1","0","0","105","10"
"derby county","1995-96","first division","42","2","1","0","3","0","0","0","46","2"
"derby county","1996-97","premier league","17","1","2","0","0","0","0","0","19","1"
"derby county","total","total","59","3","3","0","3","0","0","0","65","3"
"stoke city","1996-97","first division","5","0","0","0","0","0","0","0","5","0"
"stoke city","total","total","5","0","0","0","0","0","0","0","5","0"
"west bromwich albion","1997-98","first division","35","2","1","0","4","0","0","0","40","2"
"west bromwich albion","1998-99","first division","38","2","1","0","2","0","0","0","41","2"
"west bromwich albion","1999-2000","first division","36","4","0","0","5","1","0","0","41","5"
"west bromwich albion","total","total","109","7","2","0","11","1","0","0","122","7"
"tranmere rovers","2000-01","first division","35","1","4","0","5","0","0","0","44","1"
"tranmere rovers","2001-02","second division","31","5","4","3","3","2","0","0","38","10"
"tranmere rovers","total","total","66","6","8","3","8","2","0","0","82","11"
"kidderminster harriers","2002-03","third division","45","2","1","0","1","0","3","0","50","2"
"kidderminster harriers","2003-04","third division","6","0","0","0","1","0","0","0","7","0"
"kidderminster harriers","total","total","51","2","1","0","2","0","3","0","57","2"
"career total","career total","career total","387","28","17","3","33","4","3","0","440","35"
