"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","league","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"independiente","1998-99","primera division","2","0","-","-","0","0","-","-","2","0"
"independiente","1999-2000","primera division","24","7","-","-","0","0","-","-","24","7"
"independiente","2000-01","primera division","36","18","-","-","6","2","-","-","42","20"
"independiente","2001-02","primera division","18","12","-","-","5","1","-","-","23","13"
"independiente","total","total","80","37","-","-","11","3","-","-","91","40"
"manchester united","2001-02","premier league","13","0","0","0","5","0","0","0","18","0"
"manchester united","2002-03","premier league","25","6","2","0","13","1","5","2","45","9"
"manchester united","2003-04","premier league","24","4","2","1","4","2","2","1","32","8"
"manchester united","2004-05","premier league","1","0","0","0","1","0","1","0","3","0"
"manchester united","total","total","63","10","4","1","23","3","8","3","98","17"
"villarreal","2004-05","la liga","38","25","1","0","0","0","-","-","39","25"
"villarreal","2005-06","la liga","32","10","2","0","13","3","-","-","47","13"
"villarreal","2006-07","la liga","36","19","4","1","2","1","-","-","42","21"
"villarreal","total","total","106","54","7","1","15","4","-","-","128","59"
"atletico madrid","2007-08","la liga","36","16","6","1","11","6","-","-","53","23"
"atletico madrid","2008-09","la liga","33","32","3","1","9","2","-","-","45","35"
"atletico madrid","2009-10","la liga","33","18","6","3","17","7","-","-","56","28"
"atletico madrid","2010-11","la liga","32","8","3","1","6","1","1","0","42","10"
"atletico madrid","total","total","134","74","18","6","43","16","1","0","196","96"
"inter milan","2011-12","serie a","18","2","0","0","2","0","-","-","20","2"
"internacional","2012","serie a","19","5","0","0","-","-","19","5","none","none"
"internacional","2013","serie a","15","5","8","3","-","-","13","9","36","17"
"internacional","total","total","34","10","8","3","-","-","13","9","55","22"
"cerezo osaka","2014","j1 league","26","7","2","0","6","2","-","-","34","9"
"cerezo osaka","2015","j2 league","16","10","0","0","-","-","16","10","none","none"
"cerezo osaka","total","total","42","17","2","0","6","2","-","-","45","19"
"penarol","2015-16","primera division","30","8","0","0","3","0","1","0","34","8"
"mumbai city","2016","super league","11","5","-","-","1","0","12","5","none","none"
"kitchee","2017-18","hk premier league","6","5","1","1","5","0","0","0","12","6"
"career total","career total","career total","523","222","39","11","107","28","24","12","693","273"
