"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"cerro porteno","2009","paraguayan primera division","4","0","0","0","-","-","4","0"
"cerro porteno","2010","paraguayan primera division","3","0","0","0","-","-","3","0"
"cerro porteno","2011","paraguayan primera division","15","3","0","0","8","2","23","5"
"cerro porteno","total","total","22","3","0","0","8","2","30","5"
"porto","2011-12","primeira liga","4","0","2","0","0","0","6","0"
"porto","2012-13","primeira liga","1","0","1","0","0","0","2","0"
"porto","2013-14","primeira liga","1","0","0","0","0","0","1","0"
"porto","total","total","6","0","3","0","0","0","9","0"
"porto b","2012-13","segunda liga","6","1","0","0","-","-","6","1"
"river plate","2012-13","argentine primera division","17","3","0","0","-","-","17","3"
"verona","2013-14","serie a","33","8","0","0","-","-","33","8"
"roma","2014-15","serie a","27","2","1","1","9","1","37","4"
"roma","2015-16","serie a","12","1","1","0","6","0","19","1"
"roma","2016-17","serie a","5","0","0","0","7","0","12","0"
"roma","total","total","44","3","2","1","22","1","68","5"
"afc bournemouth","2015-16","premier league","2","0","2","0","-","-","4","0"
"torino","2016-17","serie a","16","1","1","0","-","-","17","1"
"tijuana","2017-18","liga mx","2","0","1","0","-","-","3","0"
"career total","career total","career total","148","19","9","1","30","3","187","23"
