"club","season","league","league","league","national cup","national cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"gold coast united","2010-11","a-league","5","0","-","-","5","0","none","none"
"gold coast united","2011-12","a-league","21","4","-","-","21","4","none","none"
"gold coast united","total","total","26","4","-","-","0","0","26","4"
"brisbane roar","2012-13","a-league","28","4","-","-","1","0","29","4"
"fortuna dusseldorf","2013-14","2. bundesliga","18","6","0","0","-","-","18","6"
"fortuna dusseldorf","2014-15","2. bundesliga","19","2","0","0","-","-","19","2"
"fortuna dusseldorf","total","total","37","8","0","0","0","0","37","8"
"fortuna dusseldorf ii","2013-14","regionalliga west","6","1","-","-","6","1","none","none"
"heidenheim","2015-16","2. bundesliga","22","2","4","1","-","-","26","3"
"heidenheim","2016-17","2. bundesliga","19","2","1","0","-","-","20","2"
"heidenheim","2017-18","2. bundesliga","9","1","1","0","-","-","10","1"
"heidenheim","total","total","50","5","6","1","0","0","56","6"
"v-varen nagasaki","2018","j1 league","5","0","5","0","0","0","10","0"
"adelaide united","2018-2019","a-league","1","0","3","1","0","0","4","1"
"career total","career total","career total","153","22","14","2","1","0","168","24"
