"most serious decision","2005/2006","2006/2007","2007/2008","2008/2009","2009/2010","2010/2011","2011/2012","2012/2013","2013/2014"
"most serious decision","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases","number of completed cases"
"guilty","","","","","","","","",""
"include offences against the administration of justice","101,748","104,274","109,953","113,960","114,826","113,599","113,400","112,914","106,380"
"exclude offences against the administration of justice","147,393","143,235","145,534","149,988","151,604","147,726","138,203","136,238","121,948"
"total","249,141","247,509","255,487","263,948","266,430","261,325","251,603","249,152","228,328"
"stayed/withdrawn","","","","","","","","",""
"include offences against the administration of justice","26,906","28,346","31,866","29,496","30,566","33,764","30,462","30,244","29,812"
"exclude offences against the administration of justice","85,863","85,338","88,246","87,793","94,920","97,571","94,751","90,720","84,713"
"total","112,769","113,684","120,112","117,289","125,486","131,335","125,213","120,964","114,525"
"acquitted","","","","","","","","",""
"include offences against the administration of justice","1,900","1,927","1,890","1,920","2,161","2,308","2,437","2,482","2,520"
"exclude offences against the administration of justice","12,330","11,664","10,702","10,628","11,004","10,079","10,318","10,994","11,459"
"total","14,230","13,591","12,592","12,548","13,165","12,387","12,755","13,476","13,979"
"other","","","","","","","","",""
"include offences against the administration of justice","1,873","1,754","1,615","1,614","1,647","1,630","1,468","1,167","1,064"
"exclude offences against the administration of justice","4,309","3,999","3,387","3,298","3,323","3,280","3,077","2,855","2,744"
"total","6,182","5,753","5,002","4,912","4,970","4,910","4,545","4,022","3,808"
"total cases","","","","","","","","",""
"include offences against the administration of justice","132,427","136,301","145,324","146,990","149,200","151,301","147,767","146,807","139,776"
"exclude offences against the administration of justice","249,895","244,236","247,869","251,707","260,851","258,656","246,349","240,807","220,864"
"total","382,322","380,537","393,193","398,697","410,051","409,957","394,116","387,614","360,640"
