"year","current dollars","current dollars","current dollars","current dollars","constant (2002) dollars","constant (2002) dollars","constant (2002) dollars","constant (2002) dollars"
"year","total expenditures","percentage change from previous year","per capita cost","percentage change from previous year","total expenditures","percentage change from previous year","per capita cost","percentage change from previous year"
"year","thousands of dollars","percent","dollars","percent","thousands of dollars","percent","dollars","percent"
"1986/1987","3,771,205","..","144","..","5,748,789","..","220",".."
"1987/1988","4,027,809","6.8","152","5.4","5,880,013","2.3","222","0.9"
"1988/1989","4,389,414","9.0","164","7.6","6,164,908","4.8","230","3.5"
"1989/1990","4,684,760","6.7","172","4.8","6,263,049","1.6","230","-0.2"
"1990/1991","5,247,646","12.0","189","10.3","6,693,426","6.9","242","5.3"
"1991/1992","5,426,887","3.4","194","2.2","6,554,211","-2.1","234","-3.2"
"1992/1993","5,716,833","5.3","202","4.1","6,805,754","3.8","240","2.6"
"1993/1994","5,790,165","1.3","202","0.2","6,764,212","-0.6","236","-1.7"
"1994/1995","5,783,656","-0.1","199","-1.2","6,748,723","-0.2","233","-1.3"
"1995/1996","5,766,630","-0.3","197","-1.3","6,582,911","-2.5","225","-3.5"
"1996/1997","5,856,055","1.6","198","0.5","6,587,238","0.1","222","-1.0"
"1997/1998","5,989,022","2.3","200","1.3","6,625,024","0.6","222","-0.4"
"1998/1999","6,209,756","3.7","206","2.8","6,801,486","2.7","226","1.8"
"1999/2000","6,395,380","3.0","210","2.2","6,884,155","1.2","226","0.4"
"2000/2001","6,798,772","6.3","222","5.3","7,126,596","3.5","232","2.6"
"2001/2002","7,270,027","6.9","234","5.8","7,433,565","4.3","240","3.2"
"2002/2003","7,827,322","7.7","250","6.5","7,827,322","5.3","250","4.2"
"2003/2004","8,324,196","6.3","263","5.4","8,097,467","3.5","256","2.5"
"2004/2005","8,758,213","5.2","274","4.2","8,365,055","3.3","262","2.3"
"2005/2006","9,281,879","6.0","288","5.0","8,674,653","3.7","269","2.7"
"2006/2007","9,877,071","6.4","303","5.3","9,053,227","4.4","278","3.3"
"2007/2008","10,544,769","6.8","321","5.7","9,457,192","4.5","288","3.5"
"2008/2009","11,449,953","8.6","344","7.4","10,035,016","6.1","302","5.0"
"2009/2010","12,314,195","7.5","366","6.3","10,764,157","7.3","320","6.0"
"2010/2011","12,651,406","2.7","372","1.6","10,859,576","0.9","319","-0.2"
"2011/2012","12,952,744","2.4","377","1.4","10,802,955","-0.5","315","-1.5"
"2012/2013r","13,550,728","4.6","390","3.5","11,134,534","3.1","321","2.0"
"2013/2014r","13,596,407","0.3","388","-0.7","11,071,992","-0.6","316","-1.6"
"2014/2015r","13,881,108","2.1","392","1.1","11,087,147","0.1","313","-0.9"
"2015/2016r","14,208,589","2.4","398","1.6","11,223,214","1.2","314","0.5"
"2016/2017r","14,669,412","3.2","406","2.1","11,424,776","1.8","316","0.6"
"2017/2018","15,144,253","3.2","414","2.0","11,613,691","1.7","318","0.5"
