"rank","region, country, or economy","2004","2014","average annual growth rate","2014 world total","2014 cumulative world total"
"na","world","1272362","2290294","6.1","100","na"
"1","united states","336194","431623","2.5","18.8","18.8"
"2","china","110388","395588","13.6","17.3","36.1"
"3","germany","72177","107747","4.1","4.7","40.8"
"4","india","28752","106574","14","4.7","45.5"
"5","japan","95999","103793","0.8","4.5","50"
"6","united kingdom","75119","101536","3.1","4.4","54.4"
"7","france","53375","74269","3.4","3.2","57.7"
"8","italy","42647","70453","5.1","3.1","60.8"
"9","south korea","27029","63748","9","2.8","63.5"
"10","canada","40624","60916","4.1","2.7","66.2"
"11","spain","30977","56604","6.2","2.5","68.7"
"12","brazil","18814","53152","10.9","2.3","71"
"13","australia","26277","52269","7.1","2.3","73.3"
"14","russia","26869","43487","4.9","1.9","75.2"
"15","iran","4952","36539","22.1","1.6","76.8"
