"","first quarter","second quarter","third quarter","fourth quarter"
"","statscannabis average price","statscannabis average price","statscannabis average price","statscannabis average price"
"all cannabis","6.82","6.93","7.09","7.39"
"of which: legal cannabis",".",".",".","9.70"
"of which: illegal cannabis",".",".",".","6.51"
"","implicit price indexes","implicit price indexes","implicit price indexes","implicit price indexes"
"gross domestic product at market prices","107.7","108.0","108.6","107.7"
"of which: cannabis-related","81.2","81.4","82.6","83.5"
"of which: other","108.0","108.3","108.9","108.0"
"","implicit price indexes, percentage change","implicit price indexes, percentage change","implicit price indexes, percentage change","implicit price indexes, percentage change"
"gross domestic product at market prices","0.5","0.3","0.6","-0.8"
"of which: cannabis-related","1.2","0.2","1.5","1.1"
"of which: other","0.5","0.3","0.6","-0.8"
