"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"grimsby town","2002-03","first division","1","0","0","0","0","0","-","-","1","0"
"grimsby town","2003-04","second division","17","0","1","0","0","0","1","0","19","0"
"grimsby town","2004-05","league two","6","0","0","0","1","0","1","0","8","0"
"grimsby town","total","total","24","0","1","0","1","0","2","0","28","0"
"northwich victoria","2004-05","conference national","6","1","-","-","6","1","none","none","none","none"
"halifax town","2004-05","conference national","13","2","-","-","13","2","none","none","none","none"
"halifax town","2005-06","conference national","30","1","0","0","-","-","5","0","35","1"
"halifax town","2006-07","conference national","11","0","0","0","-","-","0","0","11","0"
"halifax town","2007-08","conference premier","11","0","3","0","-","-","1","0","15","0"
"halifax town","total","total","65","3","3","0","-","-","6","0","74","3"
"northwich victoria","2006-07","conference national","3","0","-","-","3","0","none","none","none","none"
"alfreton town","2007-08","conference north","6","0","-","-","6","0","none","none","none","none"
"altrincham","2007-08","conference premier","22","1","-","-","22","1","none","none","none","none"
"altrincham","2008-09","conference premier","45","2","3","0","-","-","3","0","51","2"
"altrincham","2009-10","conference premier","40","5","1","0","-","-","3","1","44","6"
"altrincham","total","total","107","8","4","0","-","-","6","1","117","9"
"york city","2010-11","conference premier","12","1","0","0","-","-","0","0","12","1"
"altrincham","2010-11","conference premier","11","1","-","-","11","1","none","none","none","none"
"alfreton town","2011-12","conference premier","30","0","2","0","-","-","3","0","35","0"
"gainsborough trinity","2012-13","conference north","26","2","1","0","-","-","4","0","31","2"
"gainsborough trinity","2013-14","conference north","34","1","1","0","-","-","1","0","36","1"
"gainsborough trinity","total","total","60","3","2","0","-","-","5","0","67","3"
"career total","career total","career total","324","17","12","0","1","0","22","1","359","18"
