"","total aboriginal identity female population","first nations single identity","first nations single identity","first nations single identity","metis single identity","inuit single identity","as a % of female population that is aboriginal in each province or territory"
"","total aboriginal identity female population","total","registered or treaty indian","not a registered or treaty indian","metis single identity","inuit single identity","as a % of female population that is aboriginal in each province or territory"
"","number","number","number","number","number","number","as a % of female population that is aboriginal in each province or territory"
"canada","718,495","439,775","329,205","110,565","228,460","29,950","4.3"
"newfoundland and labrador","17,965","9,825","4,135","5,690","3,685","3,100","6.9"
"prince edward island","1,280","865","425","440","240","35","1.8"
"nova scotia","17,405","11,490","6,710","4,780","4,840","430","3.7"
"new brunswick","11,585","8,385","5,300","3,085","2,375","230","3.1"
"quebec","71,710","42,315","26,735","15,580","19,660","6,305","1.8"
"ontario","156,405","104,480","65,245","39,235","44,260","1,880","2.4"
"manitoba","100,290","59,205","55,115","4,090","39,570","400","16.9"
"saskatchewan","81,895","53,040","48,585","4,455","27,670","150","16.1"
"alberta","112,400","60,205","50,315","9,885","48,525","955","6.3"
"british columbia","119,210","79,620","57,185","22,435","35,535","750","5.4"
"yukon","4,055","3,450","2,985","465","450","105","24.5"
"northwest territories","10,795","6,820","6,420","400","1,585","2,280","53.5"
"nunavut","13,490","70","45","25","55","13,340","87.3"
