"cause","women","men"
"cause","percent","percent"
"persons 15 or older","",""
"existed at birth","8.3","11.0"
"disease or illness","17.6","15.4"
"non-work related accident or injury","15.3","12.9"
"work-related cause","11.8","27.7"
"ageing","24.4","19.3"
"undetermined","26.8","19.6"
"other","12.9","10.7"
"persons aged 15 to 24","",""
"existed at birth","36.0","53.1"
"disease or illness","10.6","7.0"
"non-work related accident or injury","17.5","8.8"
"work-related cause","2.9","3.2"
"ageing","1.4","f"
"undetermined","28.2","28.5"
"other","14.3","9.1"
"persons aged 25 to 44","",""
"existed at birth","14.7","18.9"
"disease or illness","20.6","14.9"
"non-work related accident or injury","17.9","17.1"
"work-related cause","11.0","26.6"
"ageing","4.5","4.8"
"undetermined","27.8","21.6"
"other","17.9","9.2"
"persons aged 45 to 64","",""
"existed at birth","7.3","7.7"
"disease or illness","19.0","17.1"
"non-work related accident or injury","16.8","15.4"
"work-related cause","18.6","34.0"
"ageing","16.5","13.6"
"undetermined","27.1","18.7"
"other","13.2","9.7"
"persons aged 65 to 74","",""
"existed at birth","4.6","6.2"
"disease or illness","14.8","14.4"
"non-work related accident or injury","10.5","9.4"
"work-related cause","11.0","29.0"
"ageing","35.0","26.8"
"undetermined","30.8","20.5"
"other","11.8","15.0"
"persons aged 75 or older","",""
"existed at birth","2.4","2.2"
"disease or illness","16.5","15.7"
"non-work related accident or injury","13.9","7.7"
"work-related cause","2.6","20.2"
"ageing","49.4","45.7"
"undetermined","22.0","16.3"
"other","9.3","10.8"
