"","2015","2016","2017","2018"
"","thousands of dollars","thousands of dollars","thousands of dollars","thousands of dollars"
"canada","265,190","814,164","1,930,292","2,760,023"
"newfoundland and labrador","435","3,430","18,239","29,406"
"prince edward island","451","6,928","19,264","29,768"
"nova scotia","1,115","18,599","44,778","70,870"
"new brunswick","421","4,127","12,287","20,510"
"quebec","65,192","215,569","467,938","634,588"
"ontario","93,967","257,200","628,405","909,421"
"manitoba","1,538","4,376","9,784","16,052"
"saskatchewan","836","2,508","6,465","11,208"
"alberta","8,818","30,916","96,974","151,929"
"british columbia","92,020","268,692","620,590","876,080"
"yukon","308","1,071","2,777","4,678"
"northwest territories","77","699","2,556","4,797"
"nunavut","10","48","234","715"
