"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gimnasia y esgrima","2012-13","primera b nacional","0","0","1","0","-","-","0","0","1","0"
"gimnasia y esgrima","2013-14","primera division","21","0","0","0","-","-","0","0","21","0"
"gimnasia y esgrima","2014","primera division","19","1","0","0","2","0","0","0","21","1"
"gimnasia y esgrima","2015","primera division","17","2","2","0","-","-","3","1","22","3"
"gimnasia y esgrima","2016","primera division","4","0","0","0","-","-","0","0","4","0"
"gimnasia y esgrima","2016-17","primera division","0","0","0","0","0","0","0","0","0","0"
"gimnasia y esgrima","total","total","61","3","3","0","2","0","3","1","69","4"
"atletico tucuman","2016-17","primera division","11","0","0","0","1","0","0","0","12","0"
"chacarita juniors","2017-18","primera division","7","1","0","0","-","-","0","0","7","1"
"instituto","2017-18","primera b nacional","11","2","0","0","-","-","1","0","12","2"
"instituto","2018-19","primera b nacional","12","0","0","0","-","-","0","0","12","0"
"instituto","total","total","23","2","0","0","-","-","0","0","23","2"
"huracan","2018-19","primera division","0","0","0","0","0","0","0","0","0","0"
"career total","career total","career total","102","6","3","0","3","0","4","1","112","7"
