"club","season","league","league","league","cup","cup","continental","continental","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"fc akhmat grozny","2013-14","russian premier league","0","0","0","0","-","-","0","0"
"fc akhmat grozny","2014-15","russian premier league","0","0","0","0","-","-","0","0"
"fc akhmat grozny","2015-16","russian premier league","0","0","0","0","-","-","0","0"
"fc akhmat grozny","2016-17","russian premier league","0","0","0","0","-","-","0","0"
"fc akhmat grozny","2017-18","russian premier league","6","0","0","0","-","-","6","0"
"fc akhmat grozny","2018-19","russian premier league","0","0","0","0","-","-","0","0"
"fc akhmat grozny","total","total","6","0","0","0","0","0","6","0"
"fc terek-2 grozny","2015-16","pfl","2","0","-","-","2","0","none","none"
"career total","career total","career total","8","0","0","0","0","0","8","0"
