"club","season","league","league","league","fa cup","fa cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals"
"newcastle united","1949-50","first division","1","0","0","0","1","0"
"newcastle united","total","total","1","0","0","0","1","0"
"lincoln city","1950-51","third division north","37","19","2","1","39","20"
"lincoln city","1951-52","third division north","35","36","3","3","38","39"
"lincoln city","1952-53","second division","40","18","2","0","42","18"
"lincoln city","1953-54","second division","40","24","4","1","44","25"
"lincoln city","1954-55","second division","18","9","0","0","18","9"
"lincoln city","total","total","170","106","11","5","181","111"
"leicester city","1954-55","first division","11","3","1","0","12","3"
"leicester city","total","total","11","3","1","0","12","3"
"lincoln city","1955-56","second division","15","4","0","0","15","4"
"lincoln city","total","total","15","4","0","0","15","4"
"stoke city","1955-56","second division","24","7","5","2","29","9"
"stoke city","1956-57","second division","13","5","0","0","13","5"
"stoke city","total","total","37","12","5","2","42","14"
"lincoln city","1958-59","second division","29","13","0","0","29","13"
"lincoln city","1959-60","second division","29","12","2","0","31","12"
"lincoln city","1960-61","second division","31","8","2","2","33","10"
"lincoln city","total","total","89","33","4","2","93","35"
"career total","career total","career total","323","158","21","9","344","167"
