"club","season","league","league","league","cup","cup","league cup","league cup","europe","europe","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"saint-etienne","2005-06","ligue 1","15","0","0","0","0","0","-","-","-","-","15","0"
"saint-etienne","2006-07","ligue 1","8","1","0","0","0","0","-","-","-","-","8","1"
"saint-etienne","2007-08","ligue 1","0","0","0","0","0","0","-","-","-","-","0","0"
"saint-etienne","total","total","23","1","0","0","0","0","-","-","-","-","23","1"
"sochaux","2007-08","ligue 1","23","1","0","0","0","0","-","-","-","-","23","1"
"sochaux","2008-09","ligue 1","36","2","0","0","0","0","-","-","-","-","36","2"
"sochaux","2009-10","ligue 1","34","3","3","0","0","0","-","-","-","-","37","3"
"sochaux","2010-11","ligue 1","35","5","3","0","0","0","-","-","-","-","38","3"
"sochaux","2011-12","ligue 1","18","0","1","0","1","0","2","0","-","-","22","0"
"sochaux","2012-13","ligue 1","0","0","0","0","0","0","-","-","-","-","0","0"
"sochaux","total","total","146","11","7","0","1","0","2","0","-","-","156","11"
"real betis","2012-13","primera division","10","0","4","0","-","-","-","-","-","-","14","0"
"real betis","2013-14","primera division","13","0","1","0","-","-","8","0","-","-","22","0"
"real betis","2014-15","segunda division","9","0","3","2","-","-","-","-","-","-","12","2"
"real betis","total","total","32","0","8","2","-","-","8","0","-","-","48","2"
"toronto","2015","mls","25","1","1","0","0","0","0","0","0","0","26","1"
"toronto","2016","mls","12","1","0","0","0","0","0","0","0","0","12","1"
"toronto","total","total","37","2","1","0","0","0","0","0","0","0","38","2"
"nottingham forest","2016-17","championship","17","2","0","0","2","0","-","-","0","0","19","2"
"career total","career total","career total","255","16","16","2","3","0","10","0","0","0","284","18"
