"","average annual volunteer hours","average annual volunteer hours","average annual volunteer hours","average annual volunteer hours"
"","2013","2010","2007","2004"
"","hours","hours","hours","hours"
"total","154","156","166","168"
"men","164","153","168","168"
"women","145","158","164","168"
"age","age","age","age","age"
"15 to 19","110","115","116","127"
"20 to 24","147","159","182","161"
"25 to 34","126","109","133","137"
"35 to 44","122","136","158","152"
"45 to 54","150","168","169","176"
"55 to 64","203","201","206","202"
"65 to 74","231","236","216","250"
"75 and over","196","198","222","234"
