"club","season","league","league","league","national cup","national cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"triestina","2011-12","lega pro","13","1","3","0","-","-","16","1","none","none"
"avellino","2011-12","lega pro","6","0","0","0","-","-","6","0","none","none"
"avellino","2012-13","lega pro","22","1","2","0","-","-","24","1","none","none"
"avellino","2013-14","serie b","30","1","4","0","-","-","34","1","none","none"
"avellino","total","total","58","2","6","0","0","0","0","0","64","2"
"genoa","2014-15","serie a","20","1","1","0","-","-","21","1","none","none"
"genoa","2015-16","serie a","33","0","1","0","-","-","34","0","none","none"
"genoa","2016-17","serie a","29","0","1","0","-","-","30","0","none","none"
"genoa","2017-18","serie a","16","1","0","0","-","-","16","1","none","none"
"genoa","total","total","98","2","3","0","0","0","0","0","101","2"
"torino","2018-19","serie a","27","4","2","0","-","-","29","4","none","none"
"career total","career total","career total","196","9","14","0","0","0","0","0","210","9"
