"characteristics","provincial custody","provincial custody","provincial custody","provincial custody","federal custody","federal custody","federal custody","federal custody"
"characteristics","total","total","female","female","total","total","female","female"
"characteristics","number","percent","number","percent","number","percent","number","percent"
"total persons","72,687","100","8,801","11","22,023","100","1,164","5"
"age","","","","","","","",""
"younger than 18","19","0","2","0","14","0","1","0"
"18 to 19","3,218","4","426","5","478","2","18","2"
"20 to 24","12,513","17","1,682","19","3,695","17","201","17"
"25 to 29","13,018","18","1,656","19","4,111","19","237","20"
"30 to 34","11,704","16","1,490","17","3,495","16","204","18"
"35 to 39","9,048","13","1,121","13","2,706","12","141","12"
"40 to 44","7,572","10","916","10","2,422","11","132","11"
"45 to 49","6,427","9","728","8","1,950","9","94","8"
"50 and older","9,151","13","778","9","3,152","14","136","12"
"unknown","17","..","2","..","0","..","0",".."
"marital status","","","","","","","",""
"single","46,957","67","5,730","67","10,982","51","637","56"
"married","6,305","9","556","7","1,807","8","100","9"
"common-law","10,311","15","1,281","15","6,703","31","248","22"
"separated / divorced","6,562","9","886","10","1,747","8","133","12"
"widowed","434","1","118","1","252","1","30","3"
"unknown","2,118","..","230","..","532","..","16",".."
