"","gaspesie iles-de-la-madeleine","gaspesie iles-de-la-madeleine","estrie","estrie","montegerie","montegerie","montreal - laval","montreal - laval","laurentides","laurentides","outaouais","outaouais","abitibi-temiscamingue nord-du-quebec","abitibi-temiscamingue nord-du-quebec"
"","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers","english-language workers","other workers"
"","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"sex","","","","","","","","","","","","","",""
"female","64.0","56.8","53.8","54.6","45.3","49.3","38.8","44.5","47.1","54.9","44.8","48.8","60.5","58.4"
"male","36.0","43.2","46.2","45.1","54.7","50.7","61.2","55.5","52.9","45.1","55.3","50.9","40.1","41.6"
"marital status","","","","","","","","","","","","","",""
"single","40.4","40.6","48.4","50.4","41.3","48.1","46.1","51.4","41.7","51.1","54.8","58.3","56.5","50.1"
"married","35.1","22.9","29.1","19.1","41.8","21.7","40.6","24.8","36.9","18.7","28.2","17.4","22.6","17.0"
"common-law","17.5","29.8","14.8","24.4","10.7","23.5","6.5","15.9","14.5","23.2","10.3","18.6","18.1","26.7"
"separated, divorced, or widowed","7.0","6.8","7.1","5.9","6.0","6.7","6.8","7.8","7.1","6.9","6.8","5.8","2.8","6.3"
