"location","total","location","total"
"total","73100","europe","35398"
"puerto rico","69","austria","229"
"canada","5265","belgium","1713"
"latin america and other western hemisphere","3320","czech republic","353"
"argentina","327","denmark","573"
"brazil","1584","finland","556"
"chile","46","france","3082"
"mexico","803","germany","8637"
"other latin american and western hemisphere locations","560","hungary","121"
"africa","229","ireland","1674"
"south africa","156","italy","1148"
"other african locations","73","luxembourg","41"
"asia and pacific","21935","netherlands","1052"
"australia","1545","norway","421"
"china","5774","poland","430"
"hong kong","173","russia","462"
"india","5860","spain","560"
"indonesia","29","sweden","734"
"japan","2761","switzerland","2495"
"malaysia","803","turkey","93"
"new zealand","140","united kingdom","8949"
"singapore","2115","other european locations","2076"
"south korea","1195","middle east","4192"
"taiwan","682","israel","4086"
"thailand","193","other middle eastern locations","106"
"other asian and pacific locations","665","undistributed","2692"
