"club","season","league","league","league","fa cup","fa cup","test match","test match","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke","1889-90","football league","3","0","0","0","-","-","3","0"
"stoke","1890-91","football alliance","1","0","0","0","-","-","1","0"
"stoke","1891-92","football league","0","0","0","0","-","-","0","0"
"stoke","1892-93","first division","0","0","0","0","-","-","0","0"
"stoke","1893-94","first division","11","0","2","0","-","-","13","0"
"stoke","1894-95","first division","29","0","2","0","-","-","31","0"
"stoke","1895-96","first division","28","0","4","0","-","-","32","0"
"stoke","1896-97","first division","13","1","1","0","-","-","14","1"
"stoke","1897-98","first division","27","0","3","0","4","0","34","0"
"stoke","1898-99","first division","21","0","6","0","-","-","27","0"
"stoke","1899-1900","first division","26","0","2","0","-","-","28","0"
"stoke","1900-01","first division","2","0","1","0","-","-","3","0"
"career total","career total","career total","161","1","21","0","4","0","186","1"
