"type of impact","men","men","men","women","women","women"
"type of impact","percent","95% confidence interval","95% confidence interval","percent","95% confidence interval","95% confidence interval"
"type of impact","percent","from","to","percent","from","to"
"emotional impacts","","","","","",""
"more cautious or aware","28.1","22.0","35.2","60.0","56.1","63.7"
"upset","29.6","23.1","37.0","57.6","53.5","61.5"
"annoyed","44.8","37.3","52.5","54.7","50.6","58.7"
"angry","27.2","21.0","34.5","53.5","49.6","57.4"
"frustrated","37.1","30.1","44.8","51.3","47.4","55.2"
"confused","40.1","33.0","47.6","43.6","39.6","47.7"
"in shock or disbelief","24.2","18.4","31.2","40.4","36.5","44.5"
"anxious","19.2","14.0","25.8","40.2","36.3","44.3"
"hurt or disappointed","17.5","12.6","23.9","38.9","35.1","42.8"
"fearful","14.7","9.9","21.2","38.0","34.2","42.1"
"ashamed","13.5","8.9","19.8","34.4","30.6","38.3"
"guilty","9.2","5.7","14.5","28.4","25.0","32.1"
"less trustful of others","25.7","19.6","32.8","50.9","46.9","54.8"
"experiencing lowered self-esteem","10.2","6.5","15.7","25.5","22.3","29.0"
"depressed","8.9","5.4","14.4","20.5","17.5","23.9"
"experiencing suicidal thoughts","f","..","..","7.8","5.9","10.3"
"other emotional impact","8.3","5.0","13.4","9.1","7.1","11.7"
"not much of an emotional impact","29.8","23.6","37.0","12.7","10.3","15.7"
"no emotional impact at all","16.6","11.6","23.2","3.4","2.2","5.2"
"impacts on school experience","","","","","",""
"avoid specific buildings at school","6.4","3.5","11.3","17.6","14.7","21.0"
"use drugs or alcohol to cope","10.3","6.4","16.2","13.1","10.6","16.1"
"get help from a mental health professional","f","..","..","12.5","10.0","15.5"
"change time of travel to or from school","6.7","3.8","11.7","10.9","8.6","13.8"
"change route to school","4.8","2.5","8.9","9.3","7.2","12.0"
"stop going to any classes","6.9","3.9","11.9","9.1","7.1","11.7"
"ask for extensions","5.5","2.9","10.4","7.3","5.4","9.7"
"drop a class or classes","5.5","2.8","10.5","4.8","3.3","6.9"
"try to change class schedule","f","..","..","4.5","3.0","6.6"
"change where they live","f","..","..","4.1","2.8","6.1"
"ask to reschedule exams","f","..","..","3.9","2.6","5.9"
"change program","f","..","..","f","..",".."
"change school","f","..","..","f","..",".."
"drop out of school","f","..","..","f","..",".."
