"club","season","division","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mogi mirim","2006","campeonato paulista","9","3","0","0","0","0","0","0","9","3"
"mogi mirim","total","total","9","3","0","0","0","0","0","0","9","3"
"uberaba","2011","campeonato mineiro","0","0","0","0","0","0","0","0","0","0"
"uberaba","total","total","0","0","0","0","0","0","0","0","0","0"
"santacruzense","2013","campeonato paulista serie a2","3","0","0","0","0","0","0","0","3","0"
"santacruzense","total","total","3","0","0","0","0","0","0","0","3","0"
"petrolina social","2013","2013 campeonato pernambucano","12","2","0","0","0","0","0","0","12","2"
"petrolina social","total","total","12","2","0","0","0","0","0","0","12","2"
"al-mesaimeer","2014-15","qatargas league","12","9","0","0","0","0","0","0","12","9"
"al-mesaimeer","total","total","12","9","0","0","0","0","0","0","12","9"
"al-oruba","2014-15","oman professional league","6","0","0","0","0","0","0","0","6","0"
"al-oruba","total","total","6","0","0","0","0","0","0","0","6","0"
"pkns","2015","malaysia premier league","13","8","0","0","0","0","0","0","13","8"
"pkns","total","total","13","8","0","0","0","0","0","0","13","8"
"sepahan","2016-17","persian gulf pro league","6","0","2","1","0","0","0","0","8","1"
"sepahan","total","total","6","0","2","1","0","0","0","0","8","1"
"career total","career total","career total","61","22","2","1","0","0","0","0","63","23"
