"club","season","league","league","league","scottish cup","scottish cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"celtic","2010-11","scottish premier league","0","0","0","0","0","0","0","0","0","0"
"stranraer","2010-11","scottish third division","26","3","4","1","0","0","0","0","30","4"
"clyde","2011-12","scottish third division","25","2","1","0","1","0","0","0","27","2"
"dundee","2012-13","scottish premier league","24","0","2","1","1","0","0","0","27","1"
"dundee","2013-14","scottish championship","35","4","3","0","2","0","3","0","43","4"
"dundee","dundee total","dundee total","59","4","5","1","3","0","3","0","70","5"
"livingston","2014-15","scottish championship","28","1","0","0","2","0","3","0","33","1"
"livingston","2015-16","scottish championship","23","1","2","0","3","1","2","0","30","2"
"livingston","2016-17","scottish league one","15","2","1","0","0","0","0","0","16","2"
"livingston","2017-18","scottish championship","31","0","2","0","5","0","5","0","43","0"
"livingston","2018-19","scottish premiership","21","1","1","0","5","0","0","0","27","1"
"livingston total","livingston total","livingston total","118","5","6","0","15","1","10","0","149","6"
"career total","career total","career total","228","14","16","2","19","1","13","0","276","17"
