"","1999","1999","2012","2012"
"","marginal effect","bootstrap standard error","marginal effect","bootstrap standard error"
"no covariates","16,010","2,866","34,486","4,885"
"add net worth","6,982","2,608","13,068","3,362"
"add parental education","2,729","2,527","7,626","3,369"
"add parental age","2,996","2,566","7,520","3,386"
"add parental marital status","2,534","2,535","6,366","8,182"
"add number of children","2,995","2,608","8,182","3,481"
"add age of youngest child","3,520","2,531","7,859","3,491"
"add age of oldest child","3,921","2,466","8,080","3,553"
"add region","3,006","2,456","7,784","3,664"
"add urban/rural status","2,941","2,443","7,691","3,654"
"no covariates","16,010","2,866","34,486","4,885"
"add parental education","9,469","2,429","24,943","3,947"
"add net worth","2,729","2,527","7,626","3,369"
