"field","started in fy 2010 or fy 2011","started in fy 2012 or fy 2013","started in fy 2014 or fy 2015","started in fy 2016 or fy 2017","started in fy 2018 or fy 2019","planned to start in fy 2020 or fy 2021"
"all research space","8.1","6.6","5.1","6.7","5.6","10.1"
"agricultural sciences","0.4","0.4","0.4","0.2","0.6","0.6"
"biological and biomedical sciences","2","2","1.5","1.9","1","1.9"
"computer and information sciences","0.1","0.2","0.1","0.3","0.2","0.6"
"engineering","1.3","1.4","0.9","1.4","1.5","1.8"
"geosciences, atmospheric sciences, and ocean sciences","0.3","0.2","0.2","0.1","0.1","0.3"
"health sciences","2.8","1.6","1","1.4","1.3","3.3"
"mathematics and statistics","","","","","","0.1"
"natural resources and conservation","na","na","","0.1","",""
"physical sciences","0.6","0.6","0.7","0.6","0.5","0.7"
"psychology","0.1","","0.1","0.1","","0.1"
"social sciences","0.1","0.1","","0.2","","0.3"
"other fields of s&e","0.3","0.1","0.2","0.3","0.2","0.4"
"medical school spacea","2.3","1.3","0.8","0.9","0.9","2.5"
