"","1991","1991","1996","1996","2001","2001","2006","2006","2011","2011"
"","asmr","se","asmr","se","asmr","se","asmr","se","asmr","se"
"men","","","","","","","","","",""
"income quintile","","","","","","","","","",""
"q1","2,030","30.9","1,874","16.7","1,682","13.8","1,526","10.6","1,397","15.0"
"q2","1,615","31.5","1,501","10.6","1,330","10.7","1,203","7.7","1,089","10.1"
"q3","1,463","42.9","1,348","13.3","1,172","11.6","1,055","8.8","938","10.0"
"q4","1,345","53.1","1,254","15.2","1,062","11.2","943","8.6","826","9.8"
"q5","1,203","45.7","1,089","15.0","955","12.1","807","9.0","725","10.0"
"educational attainment","","","","","","","","","",""
"less than secondary graduation","1,707","20.8","1,603","8.4","1,454","8.8","1,372","8.0","1,289","12.4"
"secondary graduation or trades certificate","1,434","33.9","1,354","11.4","1,199","10.5","1,133","6.6","1,037","8.6"
"postsecondary diploma but not a university degree","1,246","80.1","1,164","20.1","1,023","19.2","963","10.1","855","10.1"
"university degree or equivalent","1,155","62.8","969","16.5","876","11.9","754","9.1","685","9.7"
"women","","","","","","","","","",""
"income quintile","","","","","","","","","",""
"q1","1,024","15.1","952","7.5","918","7.3","922","5.7","854","8.3"
"q2","845","21.8","798","7.7","757","6.4","736","5.6","665","7.1"
"q3","816","30.0","767","9.3","709","8.1","665","6.3","621","7.4"
"q4","774","35.0","756","10.8","678","9.6","641","7.3","571","8.1"
"q5","739","36.1","704","10.9","627","8.8","574","7.5","515","8.3"
"educational attainment","","","","","","","","","",""
"less than secondary graduation","926","13.2","883","5.2","870","5.6","889","5.6","838","8.7"
"secondary graduation or trades certificate","790","22.7","762","7.6","700","5.9","720","4.6","672","6.1"
"postsecondary diploma but not a university degree","695","31.1","665","10.4","612","9.8","603","6.0","550","6.9"
"university degree or equivalent","665","64.0","587","16.4","559","12.9","532","8.7","459","9.1"
