"census metropolitan area","percent"
"canada","87"
"brantford","98"
"oshawa","97"
"st.catharines-niagara","96"
"moncton","96"
"greater sudbury","95"
"london","95"
"windsor","94"
"hamilton","94"
"thunder bay","94"
"regina","94"
"calgary","93"
"winnipeg","93"
"toronto","93"
"halifax","92"
"st. john's","92"
"ottawa-gatineau","92"
"abbotsford-mission","91"
"barrie","91"
"edmonton","91"
"vancouver","90"
"saint john","90"
"saskatoon","90"
"kelowna","89"
"kitchener-cambridge-waterloo","89"
"peterborough","86"
"victoria","86"
"kingston","85"
"guelph","85"
"ottawa-gatineau","76"
"montreal","72"
"trois-rivieres","68"
"quebec city","65"
"sherbrooke","59"
"saguenay","52"
