"","period","period","period"
"","1981 to 2000","2000 to 2008","1981 to 2009"
"","percent","percent","percent"
"value-added growth (log), annual average","3.22","0.39","2.31"
"","percentage points","percentage points","percentage points"
"contribution","","",""
"labour input","0.08","0.84","0.32"
"produced capital input","2.45","4.64","3.16"
"natural capital input","0.43","0.16","0.34"
"multifactor productiivty","0.26","-5.25","-1.51"
"","percent","percent","percent"
"multifactor productivity growth (log), annual average before adding natural capital","-0.04","-6.96","-2.27"
