"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"mansfield town","2002-03","second division","4","0","0","0","0","0","0","0","4","0"
"mansfield town","2003-04","third division","20","0","0","0","0","0","1","0","21","0"
"mansfield town","2004-05","league two","41","1","2","1","1","0","2","0","46","2"
"mansfield town","2005-06","league two","41","1","3","0","3","0","1","0","48","1"
"mansfield town","2006-07","league two","46","3","3","0","2","0","2","0","53","3"
"mansfield town","2007-08","league two","25","0","1","0","0","0","0","0","26","0"
"mansfield town","total","total","177","5","9","1","6","0","6","0","198","6"
"tamworth","2003-04","conference premier","4","0","0","0","-","-","0","0","4","0"
"burton albion","2003-04","conference premier","3","0","0","0","-","-","0","0","3","0"
"blackpool","2008-09","championship","21","1","0","0","0","0","-","-","21","1"
"blackpool","2009-10","championship","42","3","1","0","3","0","3","0","49","3"
"blackpool","2010-11","premier league","21","2","1","0","0","0","-","-","22","2"
"blackpool","2011-12","championship","43","1","3","0","0","0","3","0","49","1"
"blackpool","2012-13","championship","43","1","2","0","1","1","-","-","46","2"
"blackpool","total","total","170","8","7","0","4","1","6","0","187","9"
"bolton wanderers","2013-14","championship","39","4","2","0","2","0","0","0","43","4"
"blackburn rovers","2014-15","championship","32","3","2","0","0","0","0","0","34","3"
"middlesbrough","2015-16","championship","0","0","0","0","0","0","0","0","0","0"
"middlesbrough","2016-17","premier league","0","0","0","0","1","0","0","0","1","0"
"middlesbrough","total","total","0","0","0","0","1","0","0","0","1","0"
"sheffield united","2015-16","league one","11","1","0","0","0","0","0","0","11","1"
"preston north end","2016-17","championship","24","3","0","0","0","0","0","0","24","3"
"queens park rangers","2017-18","championship","21","0","0","0","1","0","0","0","22","0"
"career total","career total","career total","481","24","20","1","14","1","12","0","527","26"
