"most serious violation","incidents without an offence against the administration of justice","incident includes a youth criminal justice act violation","incident includes an offence against the administration of justice","incident includes an offence against the administration of justice and a youth criminal justice act violation","total incidents","percent of incidents that include offence against the administration of justice"
"most serious violation","number","number","number","number","number","percent"
"total crimes against the person","300,558","1,339","23,093","358","325,348","7.6"
"violations causing death","554","0","4","0","558","0.7"
"attempting the commission of a capital crime","518","4","30","1","553","6.3"
"sexual violations","23,036","40","630","8","23,714","2.9"
"assaults","172,431","933","15,451","249","189,064","8.8"
"violations resulting in the deprivation of freedom","2,932","11","404","1","3,348","12.4"
"other violations involving violence or the threat of violence","101,087","351","6,574","99","108,111","6.5"
"offences against the administration of justice","0","0","168,679","1,816","170,495","100.0"
"property crime","1,064,004","1,519","20,126","437","1,086,086","2.0"
"other criminal code","150,627","356","3,404","98","154,485","2.5"
"total incidents","1,515,189","3,214","215,302","2,709","1,736,414","12.7"
