"characteristics","total singleton births","total singleton births","total singleton births","total singleton births","small-for-gestational-age","small-for-gestational-age","small-for-gestational-age","preterm","preterm","preterm"
"characteristics","number","%","95% confidence interval","95% confidence interval","rate per 100 births","95% confidence interval","95% confidence interval","rate per 100 births","95% confidence interval","95% confidence interval"
"characteristics","number","%","from","to","rate per 100 births","from","to","rate per 100 births","from","to"
"total","127,694","100.0","..","..","8.2","8.1","8.4","6.4","6.3","6.5"
"child sex","","","","","","","","","",""
"male","65,324","51.4","51.2","51.5","8.4","8.2","8.6","6.9","6.7","7.1"
"female","62,370","48.6","48.5","48.8","8.1","7.9","8.3","5.9","5.7","6.1"
"child birth year","","","","","","","","","",""
"2004","39,791","31.2","31.0","31.3","8.0","7.8","8.3","6.5","6.3","6.8"
"2005","63,815","50.2","50.1","50.4","8.3","8.0","8.5","6.4","6.2","6.6"
"2006","24,088","18.6","18.5","18.7","8.5","8.1","8.9","6.3","6.0","6.7"
"maternal age group","","","","","","","","","",""
"younger than 20","6,162","4.0","4.0","4.1","10.8","9.8","11.9","8.4","7.6","9.3"
"20 to 24","21,162","16.2","16.1","16.3","9.6","9.1","10.1","6.5","6.1","6.9"
"25 to 29","39,353","31.1","30.9","31.2","8.1","7.8","8.4","6.0","5.7","6.3"
"30 to 34","39,386","31.5","31.3","31.6","7.4","7.2","7.7","6.1","5.8","6.3"
"35 to 39","18,033","14.3","14.2","14.4","8.1","7.7","8.5","6.7","6.3","7.1"
"40 or older","3,598","2.9","2.9","3.0","8.4","7.4","9.5","9.8","8.8","10.9"
"live birth order","","","","","","","","","",""
"first","56,055","46.5","46.2","46.8","10.5","10.2","10.7","7.3","7.1","7.6"
"second","44,301","35.3","35.0","35.5","6.2","6.0","6.5","5.2","5.0","5.5"
"third or higher","27,338","18.3","18.0","18.5","6.4","6.1","6.8","6.3","6.0","6.7"
"region of birth","","","","","","","","","",""
"atlantic","7,928","6.3","6.3","6.4","8.0","7.4","8.7","6.4","5.9","7.1"
"quebec","27,724","22.1","22.0","22.2","8.2","7.9","8.5","6.2","5.9","6.5"
"ontario","45,823","39.2","39.0","39.3","8.5","8.3","8.8","6.2","6.0","6.5"
"manitoba","7,989","4.2","4.2","4.3","8.7","7.9","9.5","7.3","6.6","8.0"
"saskatchewan","6,059","3.5","3.5","3.6","8.0","7.2","8.9","6.2","5.5","7.0"
"alberta","16,379","12.3","12.2","12.4","8.6","8.1","9.1","7.4","7.0","7.9"
"british columbia","14,204","12.0","11.9","12.1","7.2","6.8","7.7","5.9","5.4","6.3"
"territories","1,588","0.4","0.4","0.4","5.6","4.2","7.5","7.0","5.9","8.3"
"maternal ethnicity","","","","","","","","","",""
"caucasian","87,308","73.8","73.5","74.1","7.2","7.1","7.4","6.1","5.9","6.2"
"indigenous","17,285","5.9","5.6","6.2","6.4","5.8","6.9","8.2","7.6","8.8"
"black","3,824","3.4","3.3","3.5","11.5","10.5","12.6","9.2","8.2","10.3"
"east asian","4,945","4.3","4.2","4.4","9.8","9.0","10.7","5.5","4.9","6.1"
"southeast asian","3,211","2.9","2.7","3.0","14.4","13.1","15.8","9.3","8.3","10.4"
"south asian","6,896","6.1","6.0","6.3","15.9","15.1","16.9","7.0","6.4","7.7"
"other","4,225","3.7","3.5","3.8","9.2","8.4","10.1","5.7","4.9","6.5"
"maternal marital status","","","","","","","","","",""
"single","16,933","11.6","11.4","11.8","10.8","10.3","11.4","8.0","7.5","8.5"
"common-law","31,077","23.3","23.0","23.5","8.4","8.0","8.7","6.7","6.4","7.0"
"married","79,684","65.1","64.9","65.4","7.7","7.6","7.9","6.0","5.8","6.2"
"maternal education","","","","","","","","","",""
"less than secondary graduation","22,514","13.4","13.1","13.6","10.5","10.0","11.0","7.7","7.3","8.1"
"secondary graduation","27,197","22.0","21.8","22.3","8.6","8.3","9.0","6.6","6.3","7.0"
"postsecondary diploma or certificate","42,778","35.2","34.8","35.5","7.8","7.6","8.1","6.5","6.2","6.7"
"university degree","35,205","29.5","29.2","29.7","7.4","7.1","7.7","5.6","5.3","5.9"
"maternal economic family income adequacy quintile","","","","","","","","","",""
"1","28,111","20.1","19.8","20.3","9.9","9.5","10.3","7.1","6.7","7.4"
"2","25,482","19.9","19.7","20.2","8.8","8.5","9.2","6.3","6.0","6.7"
"3","24,807","19.9","19.7","20.2","7.9","7.6","8.3","6.2","5.9","6.6"
"4","24,617","20.1","19.8","20.3","7.6","7.2","7.9","6.1","5.7","6.4"
"5","24,677","20.0","19.8","20.2","7.0","6.6","7.3","6.3","6.0","6.6"
