"","1980 to 2000","2000 to 2015","2000 to 2015 less 1980 to 2000"
"","percent","percent","percent"
"industry","","",""
"agriculture, forestry, fishing and hunting","2.7","2.5","-0.2"
"mining and oil and gas extraction","-0.3","-4.6","-4.3"
"utilities","0.3","-1.4","-1.7"
"construction","-0.3","-0.3","0.0"
"manufacturing","2.1","0.3","-1.8"
"wholesale trade","2.1","1.5","-0.6"
"retail trade","1.1","1.1","0.0"
"transportation and warehousing","1.2","-0.3","-1.5"
"information and cultural industries","0.4","0.7","0.3"
"finance, insurance, real estate and renting and leasing","-0.7","1.0","1.7"
"professional, scientific and technical services","-1.1","-0.3","0.8"
"administrative and support, waste management and remediation services","-1.5","-0.7","0.8"
"arts, entertainment and recreation","-3.2","-1.1","2.1"
"accommodation and food services","-1.3","0.1","1.4"
"other private services","-0.9","0.1","1.0"
"total business sector","0.4","-0.2","-0.6"
