"region of residence","number of syrian refugees","number of refugees from other countries","distribution of syrian refugees","distribution of refugees from other countries","proportion of syrian refugees in the total refugee population","proportion of syrian refugees who were government-assisted refugees","proportion of syrian refugees admitted in 2015"
"region of residence","number","number","percent","percent","percent","percent","percent"
"atlantic provinces","2,670","765","10.7","4.9","77.7","85.8","6.6"
"montreal census metropolitan area","4,265","1,195","17.0","7.7","78.1","5.4","46.5"
"rest of quebec","1,030","1,970","4.1","12.6","34.3","76.7","5.3"
"toronto census metropolitan area","4,035","3,285","16.1","21.1","55.1","30.9","37.4"
"rest of ontario","6,175","2,910","24.6","18.7","68.0","65.3","27.5"
"prairies","4,735","4,055","18.9","26.0","53.9","64.8","24.0"
"british columbia","2,125","1,410","8.5","9.1","60.1","73.6","29.4"
"canada","25,035","15,580","100.0","100.0","61.6","52.8","28.7"
