"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1985-86","second division","32","4","1","0","3","0","3","0","39","4"
"stoke city","total","total","32","4","1","0","3","0","3","0","39","4"
"everton","1986-87","first division","12","0","0","0","3","0","5","0","20","0"
"everton","1987-88","first division","8","0","0","0","1","1","1","0","10","1"
"everton","1988-89","first division","0","0","0","0","1","0","0","0","1","0"
"everton","total","total","20","0","0","0","5","1","6","0","31","1"
"oldham athletic","1988-89","second division","9","0","0","0","0","0","0","0","9","0"
"oldham athletic","1989-90","second division","27","4","6","0","6","0","1","0","40","4"
"oldham athletic","1990-91","second division","31","6","2","1","1","0","0","0","34","7"
"oldham athletic","1991-92","first division","26","4","2","1","1","0","0","0","29","5"
"oldham athletic","1992-93","premier league","32","9","1","0","4","0","0","0","37","5"
"oldham athletic","1993-94","premier league","13","0","1","0","3","0","0","0","17","0"
"oldham athletic","total","total","138","23","12","2","15","0","1","0","166","25"
"norwich city","1993-94","premier league","14","0","0","0","0","0","0","0","14","0"
"norwich city","1994-95","premier league","33","3","3","0","6","1","0","0","42","3"
"norwich city","1995-96","first division","42","3","1","0","5","0","0","0","48","3"
"norwich city","1996-97","first division","45","13","2","1","2","2","0","0","49","16"
"norwich city","1997-98","first division","30","4","0","0","2","1","0","0","32","5"
"norwich city","1998-99","first division","18","3","1","0","2","0","0","0","21","3"
"norwich city","total","total","182","25","7","1","17","4","0","0","206","30"
"oldham athletic","1999-2000","second division","29","2","2","1","2","0","1","0","34","4"
"oldham athletic","2000-01","second division","18","2","0","0","2","0","0","0","20","2"
"oldham athletic","total","total","47","4","2","1","4","0","1","0","54","6"
"career total","career total","career total","419","56","22","4","44","5","11","0","496","65"
