"year","single","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","peak chart positions","album"
"year","single","uk","aut","be","eu","ger","ire","nl","swe","swi","album"
"2000","it's too late","62","-","-","-","-","-","-","-","-","forget me not"
"2004","what you're made of","7","22","63","27","73","19","28","21","46","breathe in"
"2005","breathe in","6","-","-","39","86","34","41","-","-","breathe in"
"2005","the game is won","38","-","-","-","-","-","-","-","-","breathe in"
"2005","don't look back","34","-","-","-","-","48","-","-","-","breathe in"
"2005","nothing else matters","-","-","-","160","38","-","13","-","-","breathe in"
"2005","forget me not","76","-","-","-","-","-","48","-","-","breathe in"
"2006","everytime i think of you","-","-","5","88","-","-","1","-","-","the same side"
"2006","last year","79","-","-","-","-","114","66","-","-","the same side"
"2007","sinking in","-","-","-","-","-","-","-","-","-","the same side"
"2014","letters to ghosts","-","-","-","-","-","-","-","-","-","letters to ghosts"
"2014","you got it","-","-","-","-","-","-","-","-","-","letters to ghosts"
"2015","villain","-","-","-","-","-","-","-","-","-","letters to ghosts"
"2015","winter wonderland","-","-","-","-","-","-","-","-","-","n/a"
"2016","find a way","-","-","-","-","-","-","-","-","-","letters to ghosts"
"2018","kite","-","-","-","-","-","-","-","-","-","e.g.o"
""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released",""-" denotes single that did not chart or was not released"
