"year","title","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","platform(s)","developer(s)","publisher(s)"
"year","title","android","ios","lin","mac","win","ps3","ps4","x360","xone","switch","developer(s)","publisher(s)"
"2010","i love strawberries","no","yes","no","no","no","no","no","no","no","no","coffee stain studios","atari"
"2011","sanctum","no","no","no","yes","yes","no","no","no","no","no","coffee stain studios","none"
"2013","super sanctum td","no","yes","no","yes","yes","no","no","no","no","no","coffee stain studios","none"
"2013","sanctum 2","no","no","yes","yes","yes","yes","no","yes","no","no","coffee stain studios","coffee stain studiosreverb publishing"
"2014","goat simulator","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","coffee stain studios","coffee stain studiosdouble eleven"
"2014","a story about my uncle","no","no","yes","yes","yes","no","no","no","no","no","gone north games","coffee stain studios"
"2016","the westport independent","yes","yes","yes","yes","yes","no","no","no","no","no","double zero one zero","coffee stain studios"
"2018","puppet fever","no","no","no","no","yes","no","no","no","no","no","coastalbyte games","coffee stain publishing"
"2019","deep rock galactic","no","no","no","no","yes","no","no","no","yes","no","ghost ship games","coffee stain publishing"
"2019","huntdown","no","no","yes","yes","yes","no","yes","no","yes","yes","easy trigger games","coffee stain publishing"
"2019","satisfactory","no","no","no","no","yes","no","no","no","no","no","coffee stain studios","coffee stain publishing"
