"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lanus","2012-13","primera division","0","0","1","0","-","-","0","0","1","0"
"lanus","2013-14","primera division","0","0","0","0","0","0","0","0","0","0"
"lanus","2014","primera division","0","0","0","0","0","0","0","0","0","0"
"lanus","total","total","0","0","1","0","0","0","0","0","1","0"
"talleres","2015","primera c metropolitana","34","1","0","0","-","-","0","0","34","1"
"talleres","2016","primera b metropolitana","7","0","1","0","-","-","0","0","8","0"
"talleres","2016-17","primera b metropolitana","25","0","0","0","-","-","0","0","25","0"
"talleres","2017-18","primera b metropolitana","22","0","0","0","-","-","0","0","22","0"
"talleres","total","total","88","1","0","0","-","-","0","0","88","1"
"uai urquiza","2018-19","primera b metropolitana","19","0","1","0","-","-","0","0","20","0"
"career total","career total","career total","107","1","3","0","0","0","0","0","110","1"
