"club","season","league","league","league","cup","cup","europe","europe","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"fiorentina","2001-02","serie a","10","0","1","0","-","-","11","0"
"fiorentina","total","total","10","0","1","0","0","0","11","0"
"sampdoria","2002-03","serie a","32","1","5","0","-","-","37","1"
"sampdoria","2003-04","serie a","31","0","1","0","-","-","32","0"
"sampdoria","2004-05","serie a","37","0","1","0","-","-","38","0"
"sampdoria","2005-06","serie a","31","1","2","0","3","0","36","1"
"sampdoria","2006-07","serie a","36","2","7","0","-","-","43","2"
"sampdoria","2007-08","serie a","33","1","2","1","5","0","40","2"
"sampdoria","2008-09","serie a","25","2","4","0","2","0","31","2"
"sampdoria","2009-10","serie a","36","2","2","1","-","-","38","3"
"sampdoria","2010-11","serie a","34","1","2","0","6","0","42","1"
"sampdoria","2011-12","serie b","22","1","2","0","-","-","24","1"
"sampdoria","2012-13","serie a","15","0","0","0","-","-","15","0"
"sampdoria","2013-14","serie a","32","1","1","0","-","-","33","1"
"sampdoria","2014-15","serie a","36","1","1","0","-","-","37","1"
"sampdoria","2015-16","serie a","7","0","-","-","1","0","8","0"
"sampdoria","2016-17","serie a","4","0","1","0","-","-","5","0"
"sampdoria","total","total","411","13","31","2","17","0","459","15"
"internazionale","2011-12","serie a","3","0","-","-","3","0","none","none"
"internazionale","total","total","3","0","0","0","0","0","3","0"
"career total","career total","career total","424","13","32","2","17","0","473","15"
