"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"middlesbrough","2001-02","premier league","3","0","0","0","0","0","-","-","3","0"
"middlesbrough","2002-03","premier league","2","0","0","0","1","1","-","-","3","1"
"middlesbrough","2003-04","premier league","20","0","2","0","2","0","-","-","24","0"
"middlesbrough","2004-05","premier league","35","5","2","0","2","0","9","1","48","6"
"middlesbrough","2005-06","premier league","12","1","5","0","0","0","9","0","26","1"
"middlesbrough","2006-07","premier league","34","2","8","0","0","0","-","-","42","2"
"middlesbrough","2007-08","premier league","38","9","5","1","2","0","-","-","45","10"
"middlesbrough","2008-09","premier league","37","0","5","2","1","0","-","-","43","2"
"middlesbrough","total","total","181","17","27","3","8","1","18","1","234","22"
"sunderland","2003-04","first division","7","3","-","-","7","3","none","none","none","none"
"aston villa","2009-10","premier league","25","2","6","0","4","1","0","0","35","3"
"aston villa","2010-11","premier league","38","7","3","0","2","1","1","0","44","8"
"aston villa","total","total","63","9","9","0","6","2","1","0","79","11"
"liverpool","2011-12","premier league","36","0","6","2","4","0","-","-","46","2"
"liverpool","2012-13","premier league","29","3","2","0","2","0","12","2","45","5"
"liverpool","total","total","65","3","8","2","6","0","12","2","91","7"
"west ham united","2013-14","premier league","32","1","1","0","4","0","-","-","37","1"
"west ham united","2014-15","premier league","37","6","4","0","1","0","-","-","42","6"
"west ham united","total","total","69","7","5","0","5","0","-","-","79","7"
"middlesbrough","2015-16","championship","45","3","0","0","4","0","-","-","49","3"
"middlesbrough","2016-17","premier league","30","1","3","1","1","0","-","-","34","2"
"middlesbrough","2017-18","championship","40","3","2","0","3","0","2","0","47","3"
"middlesbrough","2018-19","championship","28","2","1","0","1","0","-","-","30","2"
"middlesbrough","total","total","143","9","6","1","9","0","2","0","160","10"
"career total","career total","career total","528","48","55","6","34","3","33","3","650","60"
