"club","season","league","league","league","cup","cup","league cup","league cup","continental","continental","other","other"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"deportes la serena","2010","primera division","2","0","0","0","-","-","0","0","2","0"
"deportes la serena","2011","primera division","4","0","3","0","-","-","0","0","7","0"
"deportes la serena","2012","primera division","2","0","3","0","-","-","0","0","5","0"
"deportes la serena","total","total","8","0","6","0","-","-","0","0","14","0"
"deportes melipilla","2013","segunda division","20","3","0","0","-","-","0","0","20","3"
"deportes melipilla","2013-14","segunda division","0","0","0","0","-","-","0","0","0","0"
"deportes melipilla","total","total","20","3","0","0","-","-","0","0","20","3"
"deportes ovalle","2015-16","segunda division","8","0","0","0","-","-","0","0","8","0"
"career total","career total","career total","36","3","6","0","-","-","0","0","42","3"
