"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"wolverhampton wanderers","1999-2000","first division","2","0","0","0","0","0","0","0","2","0"
"wolverhampton wanderers","2000-01","first division","22","0","2","0","0","0","0","0","24","0"
"wolverhampton wanderers","2001-02","first division","11","0","0","0","0","0","0","0","11","0"
"wolverhampton wanderers","2002-03","first division","9","0","1","0","0","0","0","0","10","0"
"wolverhampton wanderers","2003-04","premier league","1","0","1","0","1","0","0","0","1","0"
"wolverhampton wanderers","2004-05","championship","20","0","0","0","2","1","0","0","22","1"
"wolverhampton wanderers","total","total","65","0","4","0","3","0","0","0","72","0"
"oxford united","2000-01","second division","4","1","0","0","0","0","1","0","5","1"
"stoke city","2003-04","first division","16","0","0","0","0","0","0","0","16","0"
"walsall","2003-04","first division","10","2","0","0","0","0","0","0","10","2"
"hull city","2005-06","championship","26","0","1","0","0","0","0","0","27","0"
"hull city","2006-07","championship","3","0","0","0","0","0","0","0","3","0"
"hull city","total","total","29","0","1","0","0","0","0","0","30","0"
"milton keynes dons","2006-07","league two","34","7","3","0","1","0","2","1","40","8"
"milton keynes dons","2007-08","league two","41","12","0","0","0","0","4","2","45","14"
"milton keynes dons","2008-09","league one","1","0","0","0","1","0","0","0","2","0"
"milton keynes dons","total","total","76","19","3","0","2","0","6","3","87","22"
"blackburn rovers","2008-09","premier league","33","4","2","0","0","0","0","0","35","4"
"blackburn rovers","2009-10","premier league","32","1","0","0","3","0","0","0","35","1"
"blackburn rovers","2010-11","premier league","5","0","1","0","0","0","0","0","6","0"
"blackburn rovers","total","total","70","5","3","0","3","0","0","0","76","5"
"ipswich town","2011-12","championship","20","9","0","0","0","0","0","0","20","9"
"west bromwich albion","2011-12","premier league","14","2","0","0","0","0","0","0","14","2"
"bolton wanderers","2012-13","championship","25","4","1","0","1","0","0","0","27","4"
"bolton wanderers","2013-14","championship","1","0","0","0","1","0","0","0","2","0"
"bolton wanderers","total","total","26","4","1","0","2","0","0","0","29","4"
"brighton & hove albion","2013-14","championship","31","1","4","0","0","0","0","0","35","1"
"watford","2014-15","championship","9","1","0","0","2","0","0","0","11","1"
"milton keynes dons","2014-15","league one","5","0","0","0","0","0","0","0","5","0"
"career total","career total","career total","375","44","16","0","12","1","7","3","413","49"
