"","all workers","all workers","homelessness support sector","homelessness support sector","social workers","social workers","social and community service workers","social and community service workers"
"","count","percentage","count","percentage","count","percentage","count","percentage"
"total - workers with post-secondary education","12,468,425","100.0","5,005","100.0","60,335","100.0","125,800","100.0"
"education","727,620","3.6","240","3.8","1,265","2.0","8,845","5.7"
"visual and performing arts, and communications technologies","490,615","2.5","125","2.0","220","0.4","2,330","1.5"
"humanities","639,275","3.2","280","4.4","1,430","2.3","7,085","4.6"
"social and behavioural sciences and law","1,449,220","7.3","1,430","22.7","9,030","14.5","38,215","24.6"
"family and consumer sciences/human sciences","256,515","1.3","385","6.1","1,505","2.4","12,385","8.0"
"psychology","229,130","1.1","335","5.3","3,315","5.3","10,970","7.0"
"social sciences","512,315","2.6","490","7.8","3,355","5.4","9,910","6.4"
"business, management and public administration","2,671,150","13.4","1,850","29.3","44,605","71.7","38,585","24.8"
"public administration and social service professions","193,540","1.0","1,510","23.9","42,840","68.8","28,485","18.3"
"business, management, marketing and related support services","2,473,045","12.4","335","5.3","1,755","2.8","10,090","6.5"
"architecture, engineering, and related technologies","2,635,120","13.2","135","2.1","240","0.4","2,410","1.5"
"health and related fields","1,750,735","8.8","640","10.2","2,465","4.0","19,505","12.5"
"personal, protective and transportation services","789,415","4.0","180","2.9","435","0.7","4,525","2.9"
