"club","season","division","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"port vale","1953-54","third division north","0","0","0","0","0","0","0","0","0","0"
"port vale","1954-55","second division","0","0","0","0","0","0","0","0","0","0"
"port vale","1955-56","second division","0","0","0","0","0","0","0","0","0","0"
"port vale","1956-57","second division","6","0","0","0","0","0","0","0","6","0"
"port vale","1957-58","third division south","13","1","0","0","0","0","0","0","13","1"
"port vale","1958-59","fourth division","11","0","0","0","0","0","0","0","11","0"
"port vale","1959-60","third division","12","2","0","0","0","0","1","0","13","2"
"port vale","1960-61","third division","13","3","0","0","0","0","1","0","14","3"
"port vale","1961-62","third division","40","1","7","0","1","0","0","0","48","1"
"port vale","1962-63","third division","20","0","1","0","0","0","0","0","21","0"
"port vale","1963-64","third division","41","0","5","1","1","0","0","0","47","1"
"port vale","1964-65","third division","15","0","1","0","0","0","0","0","16","0"
"port vale","1965-66","fourth division","7","0","0","0","0","0","0","0","7","0"
"port vale","total","total","178","7","14","1","2","0","2","0","196","8"
"career total","career total","career total","178","7","14","1","2","0","2","0","196","8"
