"sector","average sector output share","average sector output share","average sector output share","average foreign-controlled market share","average foreign-controlled market share","average foreign-controlled market share","percentage change in foreign control","percentage change in foreign control","percentage change in foreign control"
"sector","1973 to 1975","1997 to 1999","2009 to 2011","1973 to 1975","1997 to 1999","2009 to 2011","between the 1973-to-1975 and 1997-to-1999 periods","between the 1997-to-1999 and 2009-to-2011 periods","between the 1973-to-1975 and 2009-to-2011 periods"
"sector","percent","percent","percent","percent","percent","percent","percent","percent","percent"
"food, beverage and tobacco","19.6","13.7","17.7","35.8","46.7","32.8","30.5","-29.9","-8.5"
"natural-resources-based","15.5","14.7","26.3","57.9","40.8","48.4","-29.5","18.7","-16.3"
"labour-intensive","14.4","10.1","8.8","34.6","29.6","21.4","-14.4","-27.7","-38.1"
"scale-based","34.8","41.8","29.1","57.0","61.1","58.0","7.2","-5.2","1.6"
"product-differentiated","8.6","9.7","9.0","56.2","47.9","34.0","-14.7","-29.0","-39.5"
"science-based","7.0","10.0","9.1","72.6","50.8","46.6","-30.0","-8.2","-35.8"
"manufacturing","100.0","100.0","100.0","50.8","50.7","44.6","-0.2","-12.1","-12.3"
