"club","season","league","league","league","cup","cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"parnu/kalev","1995-96","meistriliiga","8","1","none","none","-","-","8","1","none","none"
"lelle","1996-97","esiliiga","none","none","none","none","-","-","none","none","none","none"
"lelle","1997-98","meistriliiga","9","0","none","none","-","-","9","0","none","none"
"lelle","1998","meistriliiga","6","1","none","none","-","-","6","1","none","none"
"lelle","1999","meistriliiga","7","2","none","none","-","-","7","2","none","none"
"lelle","total","total","22","3","none","none","-","-","22","3","none","none"
"flora","1999","meistriliiga","11","2","none","none","2","0","1","0","14","2"
"flora","2000","meistriliiga","26","1","none","none","2","0","-","-","28","1"
"flora","2001","meistriliiga","24","2","none","none","1","0","-","-","25","2"
"flora","2002","meistriliiga","26","9","none","none","2","0","0","0","25","2"
"flora","2004","meistriliiga","15","3","none","none","2","0","3","0","25","2"
"flora","total","total","102","17","none","none","9","0","4","0","115","17"
"tervis parnu","2000","esiliiga","1","0","none","none","-","-","1","0","none","none"
"valga","2001","esiliiga","1","0","none","none","-","-","1","0","none","none"
"valerenga","2003","tippeligaen","11","1","3","0","3","0","2","1","19","2"
"fredrikstad","2004","tippeligaen","9","0","none","none","-","-","9","0","none","none"
"fredrikstad","2005","tippeligaen","12","1","none","none","-","-","12","1","none","none"
"fredrikstad","2006","tippeligaen","25","0","2","3","-","-","27","4","none","none"
"fredrikstad","2007","tippeligaen","22","3","none","none","2","0","-","-","24","3"
"fredrikstad","2008","tippeligaen","23","2","none","none","-","-","23","2","none","none"
"fredrikstad","2009","tippeligaen","25","2","none","none","2","1","1","0","28","3"
"fredrikstad","2010","adeccoligaen","28","4","none","none","-","-","3","2","31","6"
"fredrikstad","2011","tippeligaen","15","0","none","none","-","-","16","0","none","none"
"fredrikstad","total","total","159","12","24","3","4","1","4","2","191","15"
"vitesse","2011-12","eredivisie","2","0","0","0","-","-","0","0","2","0"
"chengdu blades","2013","china league one","18","1","none","none","-","-","18","1","none","none"
"career total","career total","career total","324","35","27","3","16","1","10","3","377","42"
