"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"gateshead","2009-10","conference premier","33","0","2","0","-","-","0","0","35","0"
"gateshead","2010-11","conference premier","6","0","0","0","-","-","2","0","8","0"
"gateshead","2011-12","conference premier","25","0","0","0","-","-","0","0","25","0"
"gateshead","total","total","64","0","2","0","0","0","2","0","68","0"
"lincoln city","2011-12","conference premier","8","0","0","0","-","-","0","0","8","0"
"lincoln city","2012-13","conference premier","40","0","6","0","-","-","1","0","47","0"
"lincoln city","2013-14","conference premier","31","0","4","0","-","-","3","0","38","0"
"lincoln city","2014-15","conference premier","28","0","3","0","-","-","1","0","32","0"
"lincoln city","2015-16","national league","45","0","3","0","-","-","1","0","49","0"
"lincoln city","2016-17","national league","44","0","9","0","-","-","5","0","58","0"
"lincoln city","2017-18","league two","13","0","0","0","0","0","5","0","18","0"
"lincoln city","total","total","209","0","25","0","0","0","16","0","250","0"
"stevenage","2018-19","league two","32","0","0","0","0","0","1","0","33","0"
"career total","career total","career total","305","0","27","0","0","0","19","0","351","0"
