"","primary donors","other donors","non-donors"
"","percentage","percentage","percentage"
"total","100","100","100"
"men","53","48","55"
"women","47","52","45"
"age group","","",""
"15 to 34 years","15","31","47"
"35 to 54 years","34","36","27"
"55 years and older","51","34","26"
"level of education","","",""
"less than a high school diploma","5","9","20"
"high school diploma","19","27","30"
"postsecondary diploma or certificate","29","36","27"
"university degree","46","28","22"
"household income quintile","","",""
"lowest quintile","13","19","29"
"second quintile","16","20","22"
"third quintile","18","20","19"
"fourth quintile","22","20","17"
"highest quintile","30","20","14"
"personal income quintile","","",""
"lowest quintile","8","19","32"
"second quintile","14","19","27"
"third quintile","19","21","17"
"fourth quintile","22","21","15"
"highest quintile","36","21","10"
"participation in religious activities","","",""
"does not participate in religious activities at least once a week","46","86","92"
"participates in religious activities at least once a week","54","14","8"
