"enterprise size class, 2008","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014","enterprise size class, 2014"
"enterprise size class, 2008","between 1 and 4","between 5 and 9","between 10 and 19","between 20 and 49","between 50 and 99","between 100 and 249","between 250 and 499","between 500 and 999","1,000 and above","attrition"
"enterprise size class, 2008","%","%","%","%","%","%","%","%","%","%"
"between 1 and 4","49.9","5.2","0.7","0.2","0.0","0.0","x","x","x","44.0"
"between 5 and 9","18.6","39.6","10.4","1.2","0.1","0.0","x","x","x","30.1"
"between 10 and 19","4.8","15.0","43.8","11.7","0.6","0.1","0.0","x","x","23.9"
"between 20 and 49","2.2","2.5","12.8","51.8","8.3","0.8","0.1","x","x","21.5"
"between 50 and 99","1.5","0.8","1.7","16.2","48.6","11.4","0.5","0.1","0.1","19.2"
"between 100 and 249","0.8","0.7","1.0","2.5","12.9","54.9","7.7","0.6","0.1","18.9"
"between 250 and 499","0.7","x","x","1.3","1.8","13.3","48.2","11.9","0.9","21.3"
"between 500 and 999","x","x","x","x","x","x","9.4","52.1","12.5","20.3"
"1,000 and above","x","x","0.0","x","x","x","1.1","4.1","67.4","25.7"
"addition","74.0","14.6","6.7","3.4","0.9","0.3","0.1","0.0","0.0",".."
