"club","season","league","league","league","national cup","national cup","league cup","league cup","continental","continental","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"dundee united","2006-07","spl","2","0","0","0","0","0","-","-","2","0","none","none"
"dundee united","2007-08","spl","2","0","0","0","0","0","-","-","2","0","none","none"
"dundee united","2008-09","spl","0","0","1","1","0","0","-","-","1","1","none","none"
"dundee united","2009-10","spl","0","0","0","0","1","1","-","-","1","1","none","none"
"dundee united","2010-11","spl","29","9","3","0","1","0","0","0","-","-","33","9"
"dundee united","2011-12","spl","37","9","3","4","1","1","2","1","-","-","43","15"
"dundee united","2012-13","spl","32","13","2","5","2","2","2","0","-","-","38","20"
"dundee united total","dundee united total","dundee united total","102","31","9","10","5","4","4","1","-","-","120","46"
"forfar athletic","2008-09","third division","9","4","0","0","0","0","-","-","0","0","9","4"
"forfar athletic","2008-09","third division","17","4","0","0","0","0","-","-","0","0","17","4"
"raith rovers","2009-10","first division","23","4","5","1","0","0","-","-","0","0","28","5"
"loans total","loans total","loans total","49","12","5","1","0","0","-","-","0","0","54","13"
"derby county","2013-14","championship","39","9","0","0","1","0","-","-","3","0","43","9"
"derby county","2014-15","championship","39","6","2","0","5","2","-","-","46","8","none","none"
"derby county","2015-16","championship","45","9","2","0","1","0","-","-","2","1","50","10"
"derby county","2016-17","championship","21","1","1","0","1","0","-","-","-","23","1","none"
"derby county total","derby county total","derby county total","144","25","5","0","8","2","-","-","5","1","162","28"
"sporting kansas city","2018","major league soccer","29","10","3","2","4","0","-","-","5","0","41","12"
"sporting kansas city","2019","major league soccer","3","1","0","0","0","0","4","0","1","0","8","1"
"sporting kansas city total","sporting kansas city total","sporting kansas city total","32","11","3","2","4","0","4","0","6","0","49","13"
"career total","career total","career total","327","79","22","13","17","6","8","1","11","1","385","100"
