"club","season","league","league","league","fa cup","fa cup","league cup","league cup","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"stoke city","1958-59","second division","2","0","0","0","-","-","2","0"
"stoke city","1959-60","second division","13","9","0","0","-","-","13","9"
"stoke city","1960-61","second division","28","6","6","0","1","0","35","6"
"stoke city","total","total","44","15","6","0","1","0","51","15"
"southend united","1961-62","third division","41","2","1","0","1","0","43","2"
"southend united","1962-63","third division","46","1","2","0","1","0","49","1"
"southend united","1963-64","third division","45","0","2","0","1","0","48","0"
"southend united","1964-65","third division","42","2","0","0","4","1","46","1"
"southend united","1965-66","third division","46","1","3","2","3","0","52","3"
"southend united","1966-67","fourth division","46","4","1","0","1","0","48","4"
"southend united","1967-68","fourth division","34","1","1","0","2","0","37","1"
"southend united","1968-69","fourth division","45","3","4","0","2","0","51","3"
"southend united","1969-70","fourth division","7","0","0","0","6","0","13","0"
"southend united","1970-71","fourth division","29","0","2","0","1","0","32","0"
"southend united","total","total","381","14","15","2","23","1","419","17"
"career total","career total","career total","424","29","21","2","24","1","469","32"
