"club","season","division","league","league","fa cup","fa cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals"
"bristol rovers","1965-66","third division","8","0","0","0","0","0","8","0"
"bristol rovers","1966-67","third division","3","0","0","0","0","0","3","0"
"bristol rovers","1967-68","third division","12","1","0","0","1","0","13","1"
"bristol rovers","1968-69","third division","28","6","7","3","1","0","36","9"
"bristol rovers","1969-70","third division","40","13","2","1","1","0","43","14"
"bristol rovers","1970-71","third division","42","13","3","0","7","1","52","14"
"bristol rovers","total","total","133","33","12","4","10","1","155","38"
"aston villa","1971-72","third division","45","14","1","0","6","1","52","15"
"aston villa","1972-73","second division","32","9","1","0","4","1","37","10"
"aston villa","1973-74","second division","23","8","2","0","1","0","26","8"
"aston villa","1974-75","second division","37","19","3","2","10","6","50","27"
"aston villa","1975-76","first division","38","12","2","1","4","1","44","14"
"aston villa","1976-77","first division","18","6","1","0","4","1","23","7"
"aston villa","total","total","193","68","10","3","29","10","232","81"
"coventry city","1977-78","first division","20","5","1","0","3","1","24","6"
"washington diplomats","1978","north american soccer league","26","4","-","-","-","-","26","4"
"oxford united","1978-79","third division","18","5","1","0","0","0","19","5"
"oxford united","1979-80","third division","21","5","1","0","2","0","24","5"
"oxford united","1980-81","third division","3","0","1","0","0","0","4","0"
"oxford united","total","total","42","10","3","0","2","0","47","10"
"career total","career total","career total","414","120","26","7","44","12","484","139"
