"club","season","league","league","league","cup","cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"lyon ii","2010-11","cfa","26","1","0","0","0","0","0","0","26","1"
"lyon ii","2011-12","cfa","27","6","0","0","0","0","0","0","27","6"
"lyon ii","total","total","53","7","0","0","0","0","0","0","53","6"
"tours","2012-13","ligue 2","27","1","0","0","2","0","0","0","29","1"
"tours","2013-14","ligue 2","32","2","0","0","4","1","0","0","36","3"
"tours","2014-15","ligue 2","35","0","3","0","1","0","0","0","39","0"
"tours","total","total","94","3","3","0","7","1","0","0","104","4"
"red star","2015-16","ligue 2","32","0","0","0","1","0","0","0","33","0"
"red star","2016-17","ligue 2","33","2","0","0","1","0","0","0","34","2"
"red star","total","total","65","2","0","0","2","0","0","0","67","2"
"reims","2017-18","ligue 2","35","5","1","0","1","0","0","0","37","5"
"career totals","career totals","career totals","247","17","4","0","10","1","0","0","261","18"
