"club","season","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"west ham united","1996-97","1","0","0","0","0","0","0","0","1","0"
"west ham united","1997-98","0","0","0","0","0","0","0","0","0","0"
"west ham united","1998-99","0","0","0","0","0","0","0","0","0","0"
"west ham united","total","1","0","0","0","0","0","0","0","1","0"
"kingstonian","1998-99","18","1","1","0","0","0","2","0","21","1"
"kingstonian","total","18","0","1","0","0","0","2","0","21","0"
"trelleborg","1998-99","2","1","0","0","0","0","0","0","2","1"
"trelleborg","total","2","1","0","0","0","0","0","0","2","1"
"exeter city","1999-2000","6","1","2","0","0","0","0","0","8","1"
"exeter city","total","6","1","2","0","0","0","0","0","8","1"
"kingstonian","1999-2000","11","0","0","0","0","0","4","0","15","0"
"kingstonian","total","11","0","0","0","0","0","4","0","15","0"
"hayes","2000-01","12","3","1","1","0","0","0","0","13","4"
"hayes","total","12","3","1","1","0","0","0","0","13","4"
"stevenage","2000-01","1","0","0","0","0","0","0","0","1","0"
"stevenage","total","1","0","0","0","0","0","0","0","1","0"
"canvey island","2001-02","38","39","4","2","0","0","3","3","45","44"
"canvey island","2002-03","45","40","2","1","0","0","5","4","52","45"
"canvey island","2003-04","42","43","4","8","0","0","6","6","53","57"
"canvey island","2004-05","28","14","1","0","0","0","2","2","31","16"
"canvey island","2005-06","25","12","1","1","0","0","3","1","29","14"
"canvey island","total","178","148","12","12","0","0","19","16","210","176"
"grays athletic","2006-07","21","3","0","0","0","0","1","0","22","3"
"grays athletic","total","21","3","0","0","0","0","1","0","22","3"
"chelmsford city","2006-07","12","8","0","0","0","0","0","0","12","8"
"chelmsford city","total","12","8","0","0","0","0","0","0","12","8"
"cambridge united","2007-08","32","11","3","1","0","0","3","0","38","12"
"cambridge united","total","32","11","3","1","0","0","3","0","38","12"
"stevenage","2008-09","34","10","0","0","0","0","5","4","39","14"
"stevenage","2009-10","23","7","0","0","0","0","3","1","26","8"
"stevenage","2010-11","1","0","0","0","1","0","0","0","2","0"
"stevenage","total","58","17","0","0","1","0","8","5","67","22"
"chelmsford city","2010-11","5","0","0","0","0","0","0","0","5","0"
"chelmsford city","total","5","0","0","0","0","0","0","0","5","0"
"thurrock","2010-11","6","5","0","0","0","0","0","0","6","5"
"thurrock","2011-12","32","10","2","2","0","0","0","0","34","12"
"thurrock","total","38","15","2","2","0","0","0","0","40","17"
"afc sudbury","2012-13","14","8","1","2","0","0","0","0","15","10"
"afc sudbury","total","14","8","1","2","0","0","0","0","15","10"
"maldon & tiptree","2012-13","19","3","0","0","0","0","2","3","21","6"
"maldon & tiptree","total","19","3","0","0","0","0","2","3","21","6"
"career total","career total","415","206","22","18","1","0","39","24","491","261"
