"characters","theatrical films","theatrical films","theatrical films","short films","short films","short films","short films","television series"
"characters","how to train your dragon","how to train your dragon 2","how to train your dragon: the hidden world","legend of the boneknapper dragon","gift of the night fury","book of dragons","dawn of the dragon racers","dreamworks dragons"
"characters","2010","2014","2019","2010","2011","2011","2014","2012-2018"
"hiccup horrendous hadock iii","jay baruchel","jay baruchel","jay baruchela. j. kane","jay baruchel","jay baruchel","jay baruchel","jay baruchel","jay baruchel"
"stoick the vast","gerard butler","gerard butler","gerard butler","gerard butler","gerard butler","none","nolan north","nolan north"
"gobber the belch","craig ferguson","craig ferguson","craig ferguson","craig ferguson","craig ferguson","craig ferguson","chris edgerly","chris edgerly"
"astrid hofferson","america ferrera","america ferrera","america ferrera","america ferrera","america ferrera","america ferrera","america ferrera","america ferrera"
"snotlout jorgensen","jonah hill","jonah hill","jonah hill","jonah hill","jonah hill","none","zack pearlman","zack pearlman"
"fishlegs ingerman","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse","christopher mintz-plasse"
"tuffnut thorston","t. j. miller","t. j. miller","justin rupple","t. j. miller","t. j. miller","none","t. j. miller","t. j. miller"
"ruffnut thorston","kristen wiig","kristen wiig","kristen wiig","kristen wiig","kristen wiig","none","andree vermeulen","julie marcusandree vermeulen"
"spitelout","david tennant","david tennant","david tennant","none","none","none","none","david tennant"
"valka","none","cate blanchett","cate blanchett","none","none","none","none","silent role"
"drago bludvist","none","djimon hounsou","deleted scene","none","none","none","none","djimon hounsou"
"eret","none","kit harington","kit harington","none","none","none","none","none"
"mulch","none","none","none","none","none","none","tim conway","tim conwaytom kenny"
