"","2013","2010","2007","2004"
"donor rate","donor rate","donor rate","donor rate","donor rate"
"total population","29,188","28,206","27,000","26,021"
"total number of donors","24,051","23,736","22,793","22,140"
"donor rate","82","84","84","85"
"amount of donations","amount of donations","amount of donations","amount of donations","amount of donations"
"total amount","12,763,566","11,158,712","10,965,873","10,392,187"
"average annual amount per donors","531","470","481","469"
"amount of donations by type of organization","amount of donations by type of organization","amount of donations by type of organization","amount of donations by type of organization","amount of donations by type of organization"
"total amount donated to religious organizations","5,227,931","4,481,629","5,050,201","4,637,337"
"total amount donated to non-religious organizations","7,535,634","6,677,084","5,915,672","5,754,850"
