"club","season","league","league","league","fa cup","fa cup","league cup","league cup","other","other","total","total"
"club","season","division","apps","goals","apps","goals","apps","goals","apps","goals","apps","goals"
"aston villa","1979-80","first division","3","0","0","0","0","0","0","0","3","0"
"aston villa","1980-81","first division","0","0","0","0","0","0","0","0","0","0"
"aston villa","1981-82","first division","1","0","0","0","0","0","0","0","1","0"
"aston villa","total","total","4","0","0","0","0","0","0","0","4","0"
"shrewsbury town","1981-82","second division","6","0","0","0","0","0","0","0","6","0"
"shrewsbury town","total","total","6","0","0","0","0","0","0","0","6","0"
"birmingham city","1982-83","first division","37","3","3","0","4","0","0","0","44","3"
"birmingham city","1983-84","first division","39","2","5","0","8","0","0","0","52","2"
"birmingham city","total","total","76","5","8","0","12","0","0","0","96","5"
"portsmouth","1984-85","second division","42","3","2","0","4","0","0","0","48","3"
"portsmouth","1985-86","second division","42","4","2","1","7","1","3","1","54","7"
"portsmouth","1986-87","second division","41","3","2","0","3","0","3","0","49","3"
"portsmouth","1987-88","first division","19","0","4","1","0","0","0","0","23","1"
"portsmouth","total","total","144","10","10","2","14","1","6","1","174","14"
"leeds united","1988-89","second division","44","4","2","0","3","0","2","0","51","4"
"leeds united","1989-90","second division","7","0","0","0","2","0","2","0","11","0"
"leeds united","total","total","51","4","2","0","5","0","4","0","62","4"
"stoke city","1989-90","second division","18","0","0","0","0","0","0","0","18","0"
"stoke city","1990-91","third division","44","3","3","0","4","0","1","0","52","3"
"stoke city","1991-92","third division","13","0","1","0","2","0","4","0","20","0"
"stoke city","total","total","75","3","4","0","6","0","5","0","90","3"
"bradford city","1991-92","third division","6","0","0","0","0","0","0","0","6","0"
"bradford city","1992-93","second division","32","3","3","1","2","0","3","0","40","3"
"bradford city","1993-94","second division","7","0","2","0","1","0","1","0","11","0"
"bradford city","total","total","45","3","5","1","3","0","4","0","57","3"
"dundee","1993-94","scottish premier division","","","","","","","","","",""
"dundee","1994-95","scottish first division","","","","","","","","","",""
"dundee","total","total","54","2","5","0","2","0","3","0","64","2"
"exeter city","1995-96","third division","44","2","1","0","2","0","0","0","47","2"
"exeter city","1996-97","third division","46","6","2","0","2","0","2","0","52","6"
"exeter city","1997-98","third division","38","1","2","0","2","0","1","0","43","1"
"exeter city","1998-99","third division","7","0","1","0","0","0","0","0","8","0"
"exeter city","1999-2000","third division","7","1","0","0","0","0","2","0","9","1"
"exeter city","2000-01","third division","5","0","0","0","0","0","0","0","5","0"
"exeter city","total","total","147","10","6","0","6","0","5","0","164","10"
"career total","career total","career total","602","37","40","3","48","1","27","1","717","42"
